"WOODVILLE TERRACE, FISHWICK NR PRESTON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD553295,Long,-2.6791,Lat,53.7607,Elevation,134,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,2.61,4.13,5.35,3.3,2.56,0.65,1.9,2.01,1.67,2.1,3.52,0.52,2.32,4.32,2,1.28,3.92,,,5.44,2.48,,,,,,,,,
February,2.54,2.01,3.27,0.75,2.05,0.58,2.9,1.31,0.21,1.98,0.96,2.64,0.54,1.12,2.08,2.24,3.16,,,2.56,0.48,,,,,,,,,
March,0.7,2.35,1.02,1.05,1.12,2.1,0.3,1.29,2.06,3.47,3.32,4.32,3.64,1.04,2.24,1.44,2.24,,,0.88,2.1,,,,,,,,,
April,2.7,0.65,0.28,1.73,0.5,0.41,2,1.12,2.62,2.61,1.04,1.12,2.8,1.6,2.08,1.76,0.72,,,5.12,3.03,,,,,,,,,
May,1.2,2.7,2.09,0.42,2.1,1.01,1.9,2.05,2.3,0.7,3.16,1.16,3.92,2.52,1.52,5.44,1.4,,,6.72,1.14,,,,,,,,,
June,2.05,3.61,2.77,2.19,1.41,3.76,3.27,4.15,1.02,1.69,4.32,1.52,3.24,3.36,3.36,0.36,5,,,0.8,1.1,,,,,,,,,
July,2.8,3.53,4.05,6.12,2.27,5.25,2.36,2.13,2.19,1.92,1.92,2.96,4.32,1.6,1.17,2.76,4.48,,,0.08,1.2,,,,,,,,,
August,4.08,3.3,4.75,1.9,4.45,1.65,3.61,4,3,4.2,5.48,3.76,3.52,5.2,2.4,3.76,5.04,,,2.04,0.95,,,,,,,,,
September,2.65,1.01,2.41,2.27,3.02,1.16,3.43,2.1,4.63,4.4,3.2,4.4,3.6,6,3.36,0.52,6.08,,,7.12,2.87,,,,,,,,,
October,4,4.69,3.4,3.75,3,4.14,1.21,1.5,3.9,1.99,5.2,3.96,5.76,6.56,2.24,3.8,5.68,,,3.4,8.9,,,,,,,,,
November,3.89,1.06,5.05,2.6,3.47,1.05,2.1,1.29,1.25,1.63,2.32,4.56,1.92,3.2,3.12,2.32,5.6,,,3.6,2.6,,,,,,,,,
December,1.9,0.49,5.7,0.29,4.16,1.3,2.75,2.39,3.2,2.89,1.6,2.4,2.56,2.56,2.1,1.48,5.44,,,3.76,2.32,,,,,,,,,
Total,31.12,29.53,40.14,26.37,30.11,23.06,27.73,25.34,28.05,29.58,36.04,33.32,38.14,39.08,27.67,27.16,48.76,,,41.52,29.17,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR approx. 1881 Census has it near St Mary's Vicarage and William Henry St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
