BALFRON (HIGH SCHOOL),,,,,,,,,,,,
Grid ref,NS548890,Long,-4.334201,Lat,56.071717,,,,,,,
Station no,5375/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.98,,,,,,,,,,,
February,3.03,,,,,,,,,,,
March,4.28,,,,,,,,,,,
April,3.18,,,,,,,,,,,
May,1.66,,,,,,,,,,,
June,2.51,,,,,,,,,,,
July,,,,,,,,,,,,
August,,,,,,,,,,,,
September,,,,,,,,,,,,
October,,,,,,,,,,,,
November,6.54,,,,,,,,,,,
December,,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,27.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
