BALFRON (HIGH SCHOOL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS548890,Long,-4.334201,Lat,56.071717,Elevation,342,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5375/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,6.63,6.85,7.88,4.42,2.44,1.69,5.93,6.52,6.2,3.23,9.28,6.9,7.95,5.04,3.93,5.98,,,,,,,,,
February,,,,,,3.64,5.7,2.63,6.66,3.08,5.37,1.57,5.78,2.27,10.08,3.81,1.49,5.3,4.52,5.4,3.03,,,,,,,,,
March,,,,,,4,2.08,3.6,3.48,4.23,2.66,4.8,2.98,0.88,4.01,3.27,3.59,4.4,2.04,3.14,4.28,,,,,,,,,
April,,,,,,1.71,2.21,0.68,2.74,2.84,1.89,2.8,3.98,4.3,2.75,1.57,7.26,3.28,4.89,3.83,3.18,,,,,,,,,
May,,,,,,1.83,2.16,3.7,1.59,1.28,2.68,3.4,3.99,3.43,5.57,2.03,5.8,1.66,2.58,1.74,1.66,,,,,,,,,
June,,,,,,1.94,3.39,6.06,2.3,0.98,0.71,1.9,3.98,4.5,5.01,,3.79,5.53,1.33,2.44,2.51,,,,,,,,,
July,,,,,,5.05,2.95,4.45,6.91,4.46,3.39,2.62,2.18,3.48,5,,3.8,4.07,3.04,5.65,,,,,,,,,,
August,,,,,,2.44,6.2,2.06,2.19,2.06,4.71,4.42,6.77,3.09,2.5,,0.01,7.83,5.39,6.5,,,,,,,,,,
September,,,,,,3.94,3.72,4.58,2.32,3.25,1.66,6.15,4.71,5.21,6.5,6.79,4.98,7.53,2.61,9.68,,,,,,,,,,
October,,,,,,5.4,3.93,8.83,4.22,6.94,5.79,6.18,10.03,6.17,6.82,0.55,2.19,7.09,7.54,5.32,,,,,,,,,,
November,,,,,,4.35,1.23,9.67,8.65,6.87,4.69,1.01,2.8,8.48,0.59,7.9,6.6,3.51,4.91,3.89,6.54,,,,,,,,,
December,,,,,,7.93,2.5,4.06,2.49,4.82,3.56,7.21,2.99,7.73,5.85,5.99,2.13,8.01,8.35,2.11,,,,,,,,,,
Total,,,,,,48.86,42.92,58.2,47.97,43.25,38.8,47.99,56.71,55.74,57.91,,48.54,66.16,52.24,53.63,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Jun Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1945 Jun -Au +T Est Deleted ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Dec corrected for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5375/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,663672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
