HEY-SPRINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE117046,Long,-1.824934,Lat,53.537921,Elevation,1100,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,3177/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,9.77,7.92,4.71,6.12,3.39,5.76,8.17,9.46,9.46,2.42,4.99,6.55,7.71,12.8,6.45,9.15,6.62,16.07,4.16,4.99,8.05,8.25,3.26,5.21,5.03,7.37,5.61,6.36,6.51,8.01
February,10.13,0.55,8.23,0.36,9.85,4.09,9.44,3.77,7.38,3.44,8.72,2.07,6,3.96,8.97,10.73,3.64,6.12,4.73,11.42,7.28,3.14,2.94,4.99,2.96,2.35,4.56,8.39,0.6,4.41
March,1.03,4.73,3.93,5.31,2.96,4.94,4.82,2.27,4.56,5.23,6.98,3.78,3.08,1.07,2.24,2.57,10.28,3.12,2.89,3.91,9.18,3.37,4.27,3.52,3.64,2.5,4.8,3.83,2.59,2.86
April,6.56,8,2.06,3.72,5.28,2.55,3.78,0.86,3.77,4.81,4.28,3.31,3.88,4.28,4.28,2.58,5.97,3.61,7.87,7.62,4.39,4.41,5.06,1.28,2.49,3.24,0.57,2.34,6.8,4.43
May,4.11,7.02,2.15,4.62,0.92,2.09,3.11,5.44,2.56,1,4.45,4.35,4.13,6.25,4.64,3.03,4.18,2.37,3.36,3.18,4.06,2.53,3.11,4.48,6.48,1.98,1.88,5.2,2.07,2.62
June,6.2,0.61,4.22,2.5,4.76,5.09,3.07,5.76,3.98,0.96,1.96,1.54,4.63,3.81,5.99,5.11,3.93,6.98,1.57,2.86,1.68,3.51,4.62,3.27,4.29,3.73,1.85,5.9,2.41,2.59
July,6.52,6.84,5.36,3.98,3.07,5.12,3.86,5.5,10.25,5.91,2.38,6.44,3.49,3.61,2.34,6.74,3.38,2.84,3.46,4.15,3.99,2.79,7.54,6.38,2.05,9.04,6.35,5.93,4.73,8.44
August,8.4,2.73,1.21,3.94,3.15,2.98,1.76,5.35,2.71,3.12,8.34,7.49,7.76,5.87,4.11,6.7,0.42,6.74,4.41,6.11,7.91,5.04,5.56,7.82,1.09,12.87,7.24,4.48,0.91,6.24
September,6.08,7.76,2.78,4.03,9.2,7.93,2.47,3.18,2.47,7.12,0.69,4.12,6.31,8.16,3.97,10.14,3.19,3.45,2.07,9.93,3.96,5.45,3.87,8.16,3.23,5.58,7.68,5.92,0.35,4.03
October,3.54,11.02,6.91,8.28,14.85,8.17,3.84,14.94,4.1,6.91,7.21,9.57,3.35,7.25,8.82,2.89,1.63,4.15,5.45,4.22,1.46,7.87,2.82,10.87,4.25,4.3,7.66,5.63,6.56,9.04
November,7.64,6.52,3.09,4,9.92,9.61,3.87,8.04,11.95,11.31,4.83,2.08,5.84,11.62,1.07,11.52,9.91,3.6,9.82,10.32,12.96,3.65,5.33,10.27,2.57,3.06,3.73,1.79,6.43,9.26
December,3.62,2.98,1.04,6.05,4.72,6.33,4.23,6.54,7.35,8.43,4.69,6,3.94,7.03,4.07,5.85,7.58,5.71,14.54,5.02,11.94,6.48,2.77,11.46,8.22,6.87,7.36,6.27,12.7,8.47
Total,73.6,66.68,45.69,52.91,72.07,64.66,52.42,71.11,70.54,60.66,59.52,57.3,60.12,75.71,56.95,77.01,60.73,64.76,64.33,73.73,76.86,56.49,51.15,77.71,46.3,62.89,59.29,62.04,52.66,70.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is Hey Springs. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MIDAS src_id 2684, continues to 1976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fem and Mar 1947 corrected for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
