"BRIDGE OF EARN BALLENDRICK",,,,,,,,,,,,
Grid ref,NO118175,Long,-3.428412,Lat,56.341610,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,4.50,3.10,0.50,3.70,0.45,2.43,3.25,,
February,,,,4.90,3.00,0.70,1.70,1.90,2.18,0.87,,
March,,,,5.20,1.95,3.80,0.50,1.80,3.55,3.95,,
April,,,,0.70,2.60,1.50,0.30,1.75,0.83,2.75,,
May,,,,1.00,1.90,1.30,5.00,4.50,1.64,2.78,,
June,,,,1.80,1.45,0.70,1.05,3.70,1.04,1.27,,
July,,,,4.10,1.45,1.10,1.05,2.25,2.68,2.92,,
August,,,,3.90,4.10,3.20,3.85,3.58,3.30,1.98,,
September,,,,2.20,3.30,1.70,1.10,0.80,4.18,1.40,,
October,,,,6.50,0.60,2.30,3.90,6.73,2.23,5.20,,
November,,,,1.10,0.50,5.40,3.20,1.87,2.53,0.66,,
December,,,,1.90,1.85,2.20,1.20,4.73,1.95,3.13,,
Total,,,,37.80,25.80,24.40,26.55,34.09,28.54,30.16,,
Calc annual,0.00,0.00,0.00,37.80,25.80,24.40,26.55,34.06,28.54,30.16,,
Difference,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.03,-0.00,0.00,,
