WEYBRIDGE-LYNCROFT,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ069648,Long,-0.46562043,Lat,51.372205,Elevation,70,ft.,,,,,,,,,,,,
Station no,RR8231,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,2.66,1.12,0.83,2.36,2.86,0.99,3.58,0.61,2.11,0.74,1.63,1.16,3.22,2.48,0.48,3.68,,,,
February,4.25,1.53,0.74,0.87,2.67,0.64,1.68,1.48,0.97,0.38,2.87,1.18,1.84,0.81,2.5,3.44,,,,
March,1.08,1.83,1.75,2.54,1.3,3.23,1.1,1.12,3.02,3.11,0.99,1.42,2.39,2.61,4.24,0.7,,,,
April,0.85,1.93,0.78,2.16,1.1,1.52,0.51,3.61,2.65,1.68,0.98,1.85,0.06,2.27,0.98,1.13,,,,
May,1.47,0.51,1.99,2.03,2.43,0.38,1.45,1.8,1.95,1.53,1.72,1.35,1.15,1.92,1,2.69,,,,
June,2.42,1.64,4.86,6.29,0.57,5.08,2.64,2.09,1.9,4.11,1.63,1.75,3.34,0.41,1.13,1.07,,,,
July,0.79,0.35,1.07,3.85,1.74,0.48,0.66,1.39,3.2,2.51,2.55,1.82,1.48,1.27,2.37,3.23,,,,
August,2.8,1.73,4.34,3.57,1.74,2.74,0.82,2.36,2.53,1.75,1.77,0.46,5.72,1.46,1.4,2.1,,,,
September,0.96,1.74,4.2,3.35,1.37,1.8,1.6,0.53,1.53,3.1,0.84,1.06,2.47,1.7,0.68,1.6,,,,
October,1.79,1.57,1.62,6.18,1.67,1.4,4.07,4.06,2.26,3.52,3.13,2.72,2.51,3.46,1.3,2.44,,,,
November,1.66,0.37,1.88,1.75,1.83,2.88,3.91,2.15,0.62,0.67,2.65,3.41,1.88,2.52,2.53,1.96,,,,
December,2.17,3.19,1.17,1.79,2.31,0.76,2.27,3.31,2.26,2.34,3.55,5.25,2.86,1.03,6.19,5.38,,,,
Total,22.9,17.51,25.23,36.74,21.59,21.9,24.29,24.51,25,25.44,24.31,23.43,28.92,21.94,24.8,29.42,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Lyncroft on Wey Road. Stated altitude is 20 ft. too high.,,,,,,,,,,,,,,,,,,,,
Location found on Planning Appplications for Elmbridge Council,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
