DRUMRUNIE LODGE,,,,,,,,,,,,,,,,,,,,
Grid ref,NC1666505617,Long,-5.104043,Lat,58.00182,Elevation,400,ft,,,,,,,,,,,,
Station no,RR8778,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,1.11,,5.44,11.5,10.92,7.71,7.29,7.32,6.62,9.84,4.74,,,,,6.78,,
February,,,1.37,,3.77,10.09,7.26,8.87,10.68,2.45,7.43,,3.35,,,,5.4,2.82,,
March,,,10.64,,1.62,6.13,7.52,7.24,4.97,5.29,4.08,,6.76,,,,4.65,5.94,,
April,,,2.27,,9.52,5.17,5.83,4.29,5.58,4.13,5.37,2.81,,,,,4.6,6.91,,
May,,,3.71,,3.88,1.8,4.74,5.17,4.13,5.46,3.6,2.2,,,,,4.03,0.7,,
June,,,1.62,,5.63,0.86,2.33,10.08,7.39,2.51,4.61,4.58,,,,,7.73,,,
July,,,6.6,,3.32,5.63,4.95,3.86,2.66,7.47,5.79,6.63,,3.82,,,4.58,,,
August,,,4.28,,4.68,8.61,7.85,10.49,6.39,10.12,5.28,4.64,,3.33,,,3.08,,,
September,,,4.24,,3.68,8.78,4.66,,2.39,6.66,6.04,7.24,,1.66,,,5.91,,,
October,,,7.79,,7.1,11.61,4.92,,0.62,11.03,10.18,3.47,,6.32,,,14.05,,,
November,,,1.59,,9.14,6.86,5.48,,9.64,11.55,8.47,5.77,,13.14,,,10.77,,,
December,,,9,,7.45,5.71,11.45,,5.55,10.38,8.76,6.8,,11.12,,,6.49,,,
Total,,,54.22,,65.23,82.75,77.91,,67.29,84.37,76.23,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1903 Records accidentally burnt,,,,,,,,,,,,,,,,,,,,
1911 Feb mar Records lost,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8778,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
