DRUMRUNIE LODGE,,,,,,,,,,,,
Grid ref,NC1666505617,Long,-5.104043,Lat,58.001820,,,,,,,
Station no,RR8778,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.11,,5.44,11.50,10.92,7.71,7.29,7.32,,
February,,,1.37,,3.77,10.09,7.26,8.87,10.68,2.45,,
March,,,10.64,,1.62,6.13,7.52,7.24,4.97,5.29,,
April,,,2.27,,9.52,5.17,5.83,4.29,5.58,4.13,,
May,,,3.71,,3.88,1.80,4.74,5.17,4.13,5.46,,
June,,,1.62,,5.63,0.86,2.33,10.08,7.39,2.51,,
July,,,6.60,,3.32,5.63,4.95,3.86,2.66,7.47,,
August,,,4.28,,4.68,8.61,7.85,10.49,6.39,10.12,,
September,,,4.24,,3.68,8.78,4.66,,2.39,6.66,,
October,,,7.79,,7.10,11.61,4.92,,0.62,11.03,,
November,,,1.59,,9.14,6.86,5.48,,9.64,11.55,,
December,,,9.00,,7.45,5.71,11.45,,5.55,10.38,,
Total,,,54.22,,65.23,82.75,77.91,,67.29,84.37,,
Calc annual,0.00,0.00,54.22,0.00,65.23,82.75,77.91,57.71,67.29,84.37,,
Difference,NaN,NaN,-0.00,NaN,0.00,0.00,-0.00,NaN,0.00,0.00,,
