"REDHILL STATION ROAD",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4874,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.52,2.94,3.69,1.52,3.00,3.15,3.30,2.48,3.96,,,
February,0.58,0.21,2.55,4.00,0.77,4.34,2.65,4.49,1.74,,,
March,1.78,1.44,2.44,1.74,1.71,0.81,0.44,3.46,2.10,,,
April,2.99,1.18,3.36,2.20,3.43,3.15,4.53,2.10,1.73,,,
May,0.91,1.43,0.78,3.07,3.55,2.51,1.74,1.13,1.96,,,
June,1.38,0.11,1.32,0.43,2.75,0.16,4.36,4.35,2.53,,,
July,4.85,0.39,3.17,3.99,3.85,3.94,1.85,2.77,1.63,,,
August,1.30,1.42,2.43,2.16,3.72,2.70,2.65,5.18,2.69,,,
September,3.67,0.91,1.51,1.67,3.14,2.86,0.74,5.65,,,,
October,0.98,1.32,1.07,6.95,4.24,3.24,2.36,1.91,,,,
November,1.91,1.55,1.97,1.92,3.45,2.97,6.01,3.16,,,,
December,2.66,1.85,4.58,3.09,3.93,3.32,0.47,5.33,,,,
Total,26.53,14.75,28.87,32.74,37.54,33.15,31.10,42.01,,,,
Calc annual,26.53,14.75,28.87,32.74,37.54,33.15,31.10,42.01,18.34,0.00,0.00,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,
