REDHILL-STATION-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ279506,Long,-0.16868,Lat,51.2403,Elevation,270,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,1.23,2.09,1.29,2.45,1.55,2.76,4.22,0.52,4.42,1.63,1.5,3.18,3.78,3.52,2.94,3.69,1.52,3,3.15,3.3,2.48,3.96,,
February,,,,,,,,1.6,1.34,0.45,4.1,1.63,2.22,1.13,4.49,4.78,4.84,1.03,1.5,2.35,0.58,0.21,2.55,4,0.77,4.34,2.65,4.49,1.74,,
March,,,,,,,,1,3.01,3.41,1.08,1.96,4.22,3.37,4.93,0.7,4.16,1.83,0.96,4.08,1.78,1.44,2.44,1.74,1.71,0.81,0.44,3.46,2.1,,
April,,,,,,,,3.52,2.67,1.93,1.73,1.89,0.06,3.11,1.19,1.37,1.32,2.89,3.59,2.99,2.99,1.18,3.36,2.2,3.43,3.15,4.53,2.1,1.73,,
May,,,,,,,,2.16,2.17,1.66,2.32,1.91,1.25,2.09,1.18,2.94,2.8,1.59,1.36,0.22,0.91,1.43,0.78,3.07,3.55,2.51,1.74,1.13,1.96,,
June,,,,,,,,2.12,1.98,2.59,1.77,2.38,4.14,0.39,0.68,1.32,2.28,1.56,0.63,0.93,1.38,0.11,1.32,0.43,2.75,0.16,4.36,4.35,2.53,,
July,,,,,,,,1.45,3.09,3.92,3.14,0.32,1.23,3.36,2.45,3.34,1.33,4.36,5.45,2.03,4.85,0.39,3.17,3.99,3.85,3.94,1.85,2.77,1.63,,
August,,,,,,,,3.04,4.09,2.62,3.02,0.37,5.7,2.01,1.2,2.16,3.59,5.47,1.12,2.32,1.3,1.42,2.43,2.16,3.72,2.7,2.65,5.18,2.69,,
September,,,,,,,,0.46,1.68,2.72,0.84,1.4,3.25,1.26,1.01,2.21,1.69,1.88,5.2,1.07,3.67,0.91,1.51,1.67,3.14,2.86,0.74,5.65,,,
October,,,,,,,,3.98,2.22,4.95,2.83,5.02,3.1,4.28,1.61,2.43,5.19,3.82,1.54,0.9,0.98,1.32,1.07,6.95,4.24,,2.36,1.91,,,
November,,,,,,,,2.58,1.06,0.81,3.5,4.83,2.65,2.86,4.09,2.71,6.02,1.64,2.45,1.9,1.91,1.55,1.97,1.92,3.45,2.97,6.01,3.16,,,
December,,,,,,,,3.64,2.6,4.14,4,6.95,3.61,1.33,8.33,7.06,3.02,2.22,2.84,4.74,2.66,1.85,4.58,3.09,3.93,3.32,0.47,5.33,,,
Total,,,,,,,,26.78,28,30.49,30.78,30.21,34.19,29.41,31.68,35.44,37.87,29.79,29.82,27.31,26.53,14.75,28.87,32.74,37.54,,31.1,42.01,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge on flat roof 18ft above ground at 38 Station Rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925 Oct Gauge moved 3ft higher 15ft S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927 No objects within several yards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928 Gauge moved owing to alterations Hope to resume in 1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 Gauge terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
