"STANGROUND SLUICE",,,,,,,,,,,,
Grid ref,TL209974,Long,-0.217936,Lat,52.561011,,,,,,,
Station no,1220,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.72,0.46,0.63,1.53,1.42,0.63,2.99,0.96,0.52,0.69,,
February,3.58,0.65,1.07,0.50,2.25,0.36,1.19,0.90,1.13,0.42,,
March,0.35,1.51,1.29,1.86,1.01,1.84,1.23,0.88,2.06,2.97,,
April,0.62,2.28,0.94,1.30,0.32,0.69,0.64,2.45,2.21,0.88,,
May,1.47,1.04,2.73,2.04,1.56,0.77,1.24,2.63,1.67,0.96,,
June,1.70,1.72,1.89,2.20,0.30,2.37,2.69,0.79,1.05,3.14,,
July,0.60,1.58,0.84,1.99,1.72,0.80,0.29,1.62,2.36,2.45,,
August,2.69,1.75,2.38,3.20,1.90,2.69,1.97,1.89,2.49,1.82,,
September,0.43,0.84,1.00,2.48,1.61,1.68,0.93,0.22,2.67,1.56,,
October,1.44,1.43,1.67,5.09,0.58,1.13,3.33,2.92,1.23,2.94,,
November,1.98,0.91,1.53,1.51,1.09,2.14,3.33,2.50,1.08,0.49,,
December,2.81,3.19,0.92,0.68,1.23,0.57,2.03,2.10,0.93,3.37,,
Total,20.39,17.36,16.89,24.38,14.99,15.67,21.86,19.86,19.40,21.69,,
Calc annual,20.39,17.36,16.89,24.38,14.99,15.67,21.86,19.86,19.40,21.69,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
