"STANGROUND SLUICE",,,,,,,,,,,,
Grid ref,TL209973,Long,-0.217973,Lat,52.560113,,,,,,,
Station no,1220,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.23,1.40,0.99,0.81,1.91,3.86,0.98,2.23,2.66,2.88,,
February,2.62,0.43,1.65,2.05,2.01,0.61,2.02,2.80,0.15,2.20,,
March,3.02,2.53,0.68,2.21,1.59,0.61,1.34,1.07,1.66,1.54,,
April,2.90,1.32,1.65,0.23,0.63,0.94,0.17,0.74,1.30,0.29,,
May,2.80,1.65,1.54,3.19,2.80,0.71,1.31,2.29,0.65,0.98,,
June,1.13,1.27,3.26,2.21,2.19,2.35,2.03,4.70,0.32,2.55,,
July,0.88,0.42,2.19,1.92,0.24,2.91,3.35,2.73,3.27,3.27,,
August,4.61,2.97,2.18,4.18,1.59,4.36,2.40,2.45,1.25,2.58,,
September,1.83,2.15,0.72,1.82,1.69,1.42,4.36,2.89,0.01,3.22,,
October,0.95,2.30,2.07,2.11,1.59,1.07,1.10,1.96,1.20,3.78,,
November,2.87,2.66,1.43,4.36,0.99,0.86,1.39,1.45,1.52,3.14,,
December,1.43,1.74,0.63,2.20,1.44,1.83,1.87,2.14,3.59,3.52,,
Total,27.27,20.84,18.99,27.29,18.67,21.53,22.32,27.45,17.58,29.95,,
Calc annual,27.27,20.84,18.99,27.29,18.67,21.53,22.32,27.45,17.58,29.95,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
