"AULTDEARG (LOCHLUICHART)",,,,,,,,,,,,
Grid ref,NH288652,Long,-4.870023,Lat,57.644094,,,,,,,
Station no,5773/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.80,6.05,6.46,4.84,4.65,5.13,6.79,4.73,4.74,4.97,,
February,3.40,4.31,3.35,3.07,4.25,3.97,2.83,5.21,2.21,4.17,,
March,3.65,3.10,2.23,2.67,1.28,2.35,4.33,2.12,3.32,1.07,,
April,5.75,2.23,3.35,2.36,1.62,2.43,1.38,3.16,5.35,5.12,,
May,2.35,2.49,3.79,4.87,2.34,4.47,2.08,5.82,2.53,1.75,,
June,2.15,3.62,2.36,2.41,1.75,2.26,1.91,1.95,4.18,2.63,,
July,3.70,3.26,4.71,2.90,0.74,4.53,5.15,2.02,5.28,2.89,,
August,5.00,3.56,2.58,2.09,0.35,6.79,5.81,3.38,4.82,4.57,,
September,2.92,4.78,3.87,4.76,5.13,4.09,5.27,3.12,2.19,2.53,,
October,2.32,6.17,1.73,9.13,6.57,6.78,6.26,7.95,8.07,2.80,,
November,6.23,4.38,7.66,5.44,1.82,6.11,3.06,1.43,6.40,2.85,,
December,10.32,5.87,5.00,12.38,9.27,8.05,8.14,5.41,5.18,7.70,,
Total,53.59,49.82,47.09,56.92,39.77,56.96,53.01,46.30,54.27,43.05,,
Calc annual,53.59,49.82,47.09,56.92,39.77,56.96,53.01,46.30,54.27,43.05,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
