KILKENNY CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IS5084955717,Long,-7.249306,Lat,52.650556,Elevation,208,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,2.93,3.43,2.71,2.99,2.07,3.95,2.19,1.6,3.72,3.97,3.47,0.97,2.7,2.51,4.66,4.35,3.63,2.16,5.26,4.12,2.5,3.8,0.98,1.94,1.77,2.89,1.53,3.84,5.9,1.37,2.88,1.77,1.35,3.03,3.7,5.14,3.48,3.25,1.85,6,4.59,7.4,3.12,4.19,1.67,4.59,2.2,3.5,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,4.51,4.06,3.02,0.85,0.64,2.26,1.53,0.31,3.73,3.23,2.14,0.51,1.42,1.63,1.37,2.72,2.81,1.51,2.67,2.92,4.51,0.88,2.23,1.73,1.6,0.76,4.22,2.92,3.28,1.44,4.39,4.52,4.23,1.55,4.03,2.18,1.89,1.74,2.48,6.02,1.5,4.89,2.84,2.51,3.11,3.22,0.63,2.02,0.17,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,3.49,2.47,1.99,1.33,2.49,1,3.6,1.24,0.89,0.38,1.82,3.86,3.8,3.87,0.41,0.99,0.8,2.13,2.2,4.64,2.54,3.95,2.06,1.24,3.42,2.73,1.9,1.59,4.02,3.41,3.42,0.77,1.29,3.39,2.12,2.5,3.72,2.65,1.12,2.22,0.78,0.54,1.22,4.27,4.38,0.81,3.96,2.65,1.42,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,1.19,4.11,1.75,1.4,1.85,2.01,1.1,2.24,1.11,0.69,5.33,1.69,0.43,4.03,3.46,2.44,2.07,2.13,2.64,1.87,1.25,3.09,1.41,2.31,2.05,4.62,2.21,2.65,0.66,3.96,1.38,1.36,2.16,1.1,1.42,1.38,3.65,0.62,2.19,3.44,2.35,2.99,1.92,0.85,2.11,1.4,1.59,1.73,1.91,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,1.33,1.9,3.22,0.84,2.95,3.03,2.71,3.26,4.06,2.31,3.68,0.6,0.19,2.17,2.43,2.65,2.45,1.9,1.47,2.33,3.16,1.03,2.6,3.31,1.89,2.11,2.28,1.65,1.23,3.65,1.57,1.4,4.42,2.98,2.51,2.51,3.68,1.93,1.06,1.48,3.19,4.45,2.33,1.41,1.51,2.65,1.69,4.56,2.97,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,0.78,1.47,1.41,0.2,4.84,0.86,2.24,3.05,1.88,1.83,2.43,2.15,2.71,4.02,2.69,1.62,4.49,2.19,2.19,4.17,1.25,1.6,1.68,3.55,2.09,2.67,3.77,1.29,6.32,2.04,1.1,1.14,3.17,1.65,1.61,2.99,1.37,0.26,1.42,0.65,3.8,0.35,2.17,2.91,3.89,1.95,2.59,3.01,1.63,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,3.29,1.77,3.82,1.98,4.56,2.12,2.15,2.14,3.18,1.93,4.71,3.42,4.01,1.72,0.86,2.6,2.9,0.95,2.33,4.26,2.82,1.41,2.16,3.13,2.72,1.79,2.37,4.93,5.46,0.68,3.49,4.87,1.96,1.37,3.15,1.13,4.58,3.6,2.39,2.06,3.3,2.28,2.96,4.28,0.74,2.13,3.08,5.33,4.34,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,0.9,2.28,2.33,2.4,3.09,6.42,2.89,5.41,4.5,3.58,3.34,3.83,1.27,5.79,4.8,1.46,4.56,2.97,3.15,4.47,3.75,4.38,1.85,2.64,3.58,0.48,7.31,2.26,3.83,1.06,5.08,4.1,2.36,8.71,2.55,2.25,2.12,4.54,3.86,4.84,2.87,1.83,3.71,3.93,4.74,3.35,6.06,2.17,2,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,1.92,4.3,4.07,1.89,0.4,0.66,2.58,2.2,2.41,1.28,0.45,1.31,4.97,2.8,2.04,1.75,1.12,4.45,3.53,2.95,3.36,1.19,1,1.44,4.61,2.35,0.81,2.51,0.27,3.28,2.27,1.51,2.21,1.63,5.62,1.48,1.18,1.31,3,2.26,5.75,2.63,0.79,2.87,1.52,0.93,3.63,2.33,1.45,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,1.39,3.39,4.83,1.92,2.13,4.49,2.1,4.22,2.49,2.74,4.32,2.68,2.83,3.85,3.25,1.74,3.77,2.8,2.78,4.34,1.19,0.68,5.73,4.8,2.84,6.3,2.37,3.52,2.25,4.7,1.84,3.48,4.8,2.58,3.5,0.55,6.17,2.41,0.86,3.58,2.89,3.58,2.2,2.6,5.22,3.05,4.66,1.56,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
