DUBLIN ORDNANCE SURVEY OFFICE,,,,,,,,,,,,,,,,,,,,
Grid ref,IO0985336090,Long,-6.3503593,Lat,53.363816,Elevation,159,ft,,,,,,,,,,,,
Station no,RR1716,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,2.8,3.79,0.43,,,,,3.48,1.7,2.91,2.13,1.26,,,,,
February,,,,1.96,0.59,3.85,,,,,0.6,2.6,0.37,0.58,0.97,,,,,
March,,,,2.69,0.69,1.47,,,,,2.09,3.11,3.04,1.12,2.85,,,,,
April,,,,1.68,0.59,0.48,,,,,2.07,1.39,4.19,1.17,0.79,,,,,
May,,,,0.85,2.6,1.6,,,,,3.02,0.58,2.76,1.46,1.73,,,,,
June,,,,2.21,3.51,,,,,,4.17,2.73,2.59,2.35,1.56,,,,,
July,,,,1.87,2.18,,,,,,2.48,4.92,3.59,0.87,0.97,,,,,
August,,,,3.05,1.09,,,,,,4.09,3.16,1.33,3.99,1.3,,,,,
September,,,,1.33,1.24,,,,,,2.27,2.96,1.78,2.73,1.87,,,,,
October,,,,4.64,1.72,,,,,,1.97,1.74,3.13,5.75,6.17,,,,,
November,,,,1.51,2.88,,,,,,2.68,1.58,2.45,2.22,3.31,,,,,
December,,,,1.96,1.92,,,,,,2.21,1.02,2.04,2.04,1.57,,,,,
Total,,,,26.55,22.8,,,,,,31.13,27.49,30.18,26.41,24.35,,,,,
