BRIG O'TURK,,,,,,,,,,,,
Grid ref,NN536064,Long,-4.363032,Lat,56.227548,,,,,,,
Station no,5514,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,10.05,4.90,4.70,11.90,6.85,3.50,9.45,3.45,8.10,8.95,,
February,4.30,2.35,2.50,10.25,5.60,3.65,4.50,6.75,4.15,2.65,,
March,0.40,3.80,4.45,12.45,3.60,7.70,4.25,5.35,6.75,2.10,,
April,4.20,5.00,2.40,1.50,8.05,3.40,1.80,3.05,1.65,5.85,,
May,5.95,2.60,2.45,2.55,5.45,2.65,6.10,6.15,3.50,4.95,,
June,6.10,5.10,2.15,3.80,3.20,1.55,1.00,5.90,3.70,2.85,,
July,4.10,3.15,2.95,6.25,4.50,4.05,3.85,3.20,5.15,3.10,,
August,6.10,4.15,3.95,10.15,6.70,7.70,6.70,7.50,5.40,3.10,,
September,6.00,5.75,4.90,5.10,7.80,4.10,3.10,2.05,10.35,2.15,,
October,6.70,6.70,4.40,14.15,4.05,4.60,8.80,4.15,2.05,11.05,,
November,7.35,3.00,6.65,3.15,2.30,8.65,5.35,4.80,6.60,3.75,,
December,14.20,6.75,8.20,7.55,8.40,6.25,3.60,8.60,7.00,7.10,,
Total,75.45,53.25,49.70,88.80,66.50,57.80,58.50,60.95,64.40,57.60,,
Calc annual,75.45,53.25,49.70,88.80,66.50,57.80,58.50,60.95,64.40,57.60,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
