BRIG O'TURK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN536064,Long,-4.363032,Lat,56.227548,Elevation,275,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,8.5,7,10.6,10.6,6.6,3.4,10.3,4.5,8.2,9,4.6,7,13,17,10.8,13.8,7.6,13.9,7.1,1.4,12.4,7.35,6.2,3.95,12.05,2.15,4.05,1.8,5.4,8.6,10.05,4.9,4.7,11.9,6.85,3.5,9.45,3.45,8.1,8.95,7.35,5,5.15,6.2,4.9,4.55,11.05,2.1,7,6.35,8.3,10.3,7.35,7.4,6.65,7.5,12.9,8.05,18.35,2.5,10.7,5.8,10.7,8.6,10.54,2.83,6.99,8.3,10.92,5.51,1.29,1.71,7.26,8.26,7.88,2.03,10.23,9.19,9.5,8.17,6.18,7.77,6.22,3.63,7.56,4.71,4.84,11.19,7.93,3.16,4.79
February,4.1,6.8,1.9,6.2,5.9,3.4,8.6,6.4,5.3,6.7,5.1,7.7,9,1.4,3.1,2.5,6.1,9,4.8,4.8,1.2,1.65,2.55,8.15,14.95,0.5,2.9,5.35,6.3,6.05,4.3,2.35,2.5,10.25,5.6,3.65,4.5,6.75,4.15,2.65,7.3,10.2,6.6,5,10.3,10.3,6.45,0.9,9.55,1.1,10.8,1.5,7,7.6,1.45,6.55,8.3,4.6,7.7,3.45,0.7,5.2,0.05,4.79,1.58,7.56,3.89,6.22,5.7,8.64,3.16,6.33,2.3,6.93,2.23,11.62,5.02,0.88,9.32,6.89,8.6,4.46,1.78,3.25,6.75,3.08,1.86,5.5,3.31,3.28,5.2
March,6.2,8.5,3.5,3.7,4.4,2.6,4.1,1.6,5.6,1.7,1.1,5.3,6.9,3.6,9.4,4.3,9.6,4.5,3.8,7.1,4.65,4.1,2.2,2,6.95,4.7,7.5,8.6,2.4,5.55,0.4,3.8,4.45,12.45,3.6,7.7,4.25,5.35,6.75,2.1,3.75,2.45,7.95,11.25,8.15,3.45,1.75,2.5,2.3,4.8,5.65,11.35,3.6,4.05,0.9,2.9,5.5,5.2,8.8,1.2,4.5,1.45,3.35,4.31,3.62,3.01,4.28,2.61,5,4.85,5.69,2.3,4.14,3.55,0.96,5.47,4.36,5.46,6.32,2.69,4.1,4.09,6.91,2.15,5.27,3.3,3.82,7.06,2.3,5.45,3.16
April,1.9,1.3,6.1,5.6,2.6,1.4,3.1,6.7,4.3,2.6,3,5.5,2.9,0.9,5.1,3.3,3.3,5.6,3.8,2.5,2.5,2.5,2,1.4,2,4.9,3,4.4,4.8,5.8,4.2,5,2.4,1.5,8.05,3.4,1.8,3.05,1.65,5.85,7.45,4.2,1.5,4.95,4.45,4.65,4.3,1.45,1.4,2.85,2.25,1.6,4.8,5.35,3.75,7.4,3.2,3.95,4.2,1.3,1.8,3,6.45,2.96,5.09,4.22,2.07,3.11,0.85,3.38,4.01,2.46,4.69,4.88,3.65,3.31,1.29,10.8,4.26,7.09,4.97,4.75,2.96,3.75,2.82,3.93,2.24,2.82,2.61,5.54,6.73
May,3.7,0.5,3.4,2.5,0.9,3.6,1.4,2.8,4.8,0.7,6.1,1.7,3.4,5,2.6,4.4,0.8,6,6.9,2.8,3.5,2.65,5.35,2.6,2.4,0.65,0.6,3.05,2.7,3.8,5.95,2.6,2.45,2.55,5.45,2.65,6.1,6.15,3.5,4.95,3.2,4.5,2.65,5.05,2.45,1.45,5.4,5,3.2,1.8,7.35,4.35,5.6,2,5.85,9.7,4.6,3.1,1.75,4.65,3.5,7.2,4.05,2.73,3.16,0.38,1.67,3.04,5.2,1.32,1.67,2.93,4.3,4.11,4.17,5.15,2.13,5.69,2.69,3.68,2.66,1.78,2.11,3.67,5.75,4.31,3.57,3.47,5.31,1.21,4.77
June,8.1,4.2,5.3,4.5,6.1,0.6,2.8,2.4,1.8,2.8,2,2.5,10.4,4,2.4,4.3,6.4,8,4.3,7.3,6.45,2,5.95,2.45,3.25,2.2,3.95,6.15,3.55,2.9,6.1,5.1,2.15,3.8,3.2,1.55,1,5.9,3.7,2.85,3.3,3.8,6.5,4.5,1.35,1.8,3.05,3.25,1.8,3.55,2.1,0.3,2.4,2.1,3.05,0.8,3.9,6.8,6.2,3.35,3.9,6.3,2.05,1.99,2.88,4.97,2.33,3.93,7.65,3.18,0.75,0.84,2.28,6.18,5.2,5.61,6.13,5.93,5.7,1.97,1.97,4.07,3.57,2.77,3.78,3.38,3.81,2.35,3.13,3.34,3.65
July,3.2,4.2,6.3,0.2,3.6,4.4,2.8,4.9,1,4.3,2.5,6.6,5.4,9.4,5,2.1,3.2,4.7,0.5,5.1,5.4,2.2,3.95,2.65,4.75,5.35,4.05,3.8,1.6,4.1,4.1,3.15,2.95,6.25,4.5,4.05,3.85,3.2,5.15,3.1,7,3.45,3.3,0.35,2.45,4.5,3.9,1.6,4,1.8,4.5,4.55,4.55,4.4,5.8,2.6,2.95,5.85,4.95,5,5.1,5.9,4.95,4.48,3.28,1.63,5.6,6.1,5.6,7.28,3.74,4.38,3.78,3.3,4.3,3.93,4.21,5.66,5.51,2.62,8.93,3.43,2.74,6.6,3.87,1.36,6.07,5.32,4.88,6.64,6.12
August,5.2,12.5,5.4,7,3.2,5.3,7.7,4.1,7.9,1.2,1.5,4.6,8.4,6.9,6.2,5.4,5.4,7.7,5.2,6.4,4.75,8.2,9.5,6.75,4.65,8.75,2.65,9.6,6.55,1.8,6.1,4.15,3.95,10.15,6.7,7.7,6.7,7.5,5.4,3.1,11.25,6,4.8,1.7,4.75,4,5,7.5,3.2,3.55,5.85,8,3.5,8.65,5.95,5.25,5.25,7.3,8,8,7.9,1.75,3.4,4.33,4.97,3.79,3.53,5.36,3.95,1.82,2.16,5.08,7.89,8.81,4.33,1.89,6.13,0.02,9.97,6.21,10.27,7.1,5.24,3.65,6.98,1.4,7.04,5.51,6.1,1.99,4.81
September,3.3,7.7,2.6,8.1,8.2,2,8.9,4.7,2.2,9.9,5.7,2.5,7.3,4.9,8.4,8.3,4.1,2.9,7.9,9.1,6.6,8.5,8.05,2.9,0.1,2.35,6.8,3.9,6.2,4.8,6,5.75,4.9,5.1,7.8,4.1,3.1,2.05,10.35,2.15,1.7,3.05,2.85,3.7,3.15,1.8,1.35,4.5,8,5.15,3.15,3.3,3.15,8.9,7.55,4.5,4.5,6.85,5.7,1.8,6,2.2,4.15,1.47,9.23,8.25,4.92,5.41,6.2,3.87,3.72,2.52,8.43,4.9,4.93,8.59,8.98,7.45,9.02,3.43,12.27,5.56,3.34,7.28,9.48,5.09,7.66,4.31,5.36,1.68,4.18
