"KIRKCOWAN (CRAIGIELAW)",,,,,,,,,,,,
Grid ref,NX306610,Long,-4.644355,Lat,54.914884,,,,,,,
Station no,5010,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,5.43,2.41,3.84,4.02,3.79,4.65,6.65,2.27,5.46,,
February,,1.36,0.39,4.10,3.33,0.93,3.19,4.73,1.91,5.81,,
March,,2.72,0.25,3.92,2.20,2.28,4.19,1.40,3.94,3.29,,
April,2.13,1.98,1.60,1.50,3.38,1.73,1.71,1.59,3.38,4.43,,
May,2.31,2.68,2.83,2.80,3.00,1.66,3.79,2.91,1.69,2.48,,
June,2.33,3.31,1.45,4.62,3.32,2.88,2.09,4.56,3.05,2.87,,
July,2.75,2.63,5.39,4.51,1.20,5.60,3.51,5.96,3.15,5.65,,
August,6.12,4.15,2.76,4.34,1.58,7.96,3.29,4.74,0.67,3.89,,
September,4.69,4.19,7.26,7.00,3.50,4.46,5.52,5.70,1.37,4.50,,
October,0.39,4.33,4.50,8.27,2.01,3.37,5.19,4.69,6.77,5.29,,
November,9.21,3.01,7.15,8.77,3.31,3.39,2.27,3.14,5.57,8.01,,
December,5.42,5.07,4.75,6.95,5.26,5.12,4.63,5.84,9.35,5.07,,
Total,,40.86,40.74,60.62,36.11,43.17,44.03,51.91,43.12,56.75,,
Calc annual,35.35,40.86,40.74,60.62,36.11,43.17,44.03,51.91,43.12,56.75,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
