"WEETON RESERVOIR",,,,,,,,,,,,
Grid ref,SD395344,Long,-2.920086,Lat,53.802364,,,,,,,
Station no,3053,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.32,3.34,1.65,3.16,2.42,4.62,3.56,3.72,3.00,5.10,,
February,3.05,1.18,1.00,3.07,1.86,0.46,3.03,6.06,0.44,2.82,,
March,5.14,2.09,0.63,2.10,1.50,1.17,2.76,1.69,1.78,1.38,,
April,1.82,2.87,2.58,1.33,2.16,1.38,0.53,1.54,2.75,2.12,,
May,2.45,2.80,2.06,2.89,2.36,1.68,3.28,4.08,1.54,3.63,,
June,0.84,3.30,1.86,3.63,4.21,1.84,1.99,3.72,3.38,1.42,,
July,2.09,1.62,4.59,5.11,1.46,3.30,4.81,3.62,3.90,4.61,,
August,4.06,4.63,4.63,6.02,1.12,9.62,4.90,4.29,0.43,5.48,,
September,3.73,4.14,5.49,6.21,2.69,3.33,5.54,4.28,0.37,4.12,,
October,2.05,3.51,1.90,10.05,2.35,2.51,5.50,3.52,4.14,3.38,,
November,7.80,1.97,4.54,6.13,2.03,1.95,1.09,1.75,4.08,8.93,,
December,7.94,3.82,2.04,4.14,4.31,3.88,3.88,3.62,7.61,3.55,,
Total,45.29,35.27,32.97,53.84,28.47,35.74,40.87,41.89,33.42,46.54,,
Calc annual,45.29,35.27,32.97,53.84,28.47,35.74,40.87,41.89,33.42,46.54,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
