KIRKHAM WEETON RESERVOIR LANCASHIRE,,,,,,,,,,,,,,,,,,,,
Grid ref,SD396344,long,-2.9185683,Lat,53.802375,Elevation,150,ft,,,,,,,,,,,,
Station no,3053,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,,2.6,0.82,,3.05,2.17,3.05,1.13,4.28,1.65,1.1
February,,,,,,,,,,,1.35,2.95,2.4,0.56,1.16,0.62,2.7,2.28,1.05,2.2
March,,,,,,,,,,,1.7,1.12,2.84,2.52,1.02,0.45,1.15,1.9,0.45,1.6
April,,,,,,,,,,,0.75,2.2,1.78,0.26,0.7,0.48,1.92,2.45,1.2,2.2
May,,,,,,,,,,2.63,1.2,1.2,1.35,1.6,1.05,1.32,0.26,2.17,3.3,2.55
June,,,,,,,,,,0.9,1.1,1.2,3.3,1.73,0.48,3.18,1.43,1.12,2.98,3.87
July,,,,,,,,,,0.55,0.47,4.07,4.08,2.62,1.13,4.7,1.52,4.4,0.45,5.3
August,,,,,,,,,,0.97,2.27,1.18,3.2,2.7,4.1,2.12,3.05,5.02,4.1,5.9
September,,,,,,,,,,4.62,1.53,2.77,5.27,2.05,2.42,4.2,3.25,4.25,2.17,3.57
October,,,,,,,,,,1.8,8.45,4.9,4.1,3.05,3.82,4.06,2.5,3.62,2.2,2
November,,,,,,,,,,2.27,1.78,0.98,2.38,0.98,3.31,4.16,2.95,3.55,1.88,0.9
December,,,,,,,,,,3.3,1.96,2.18,2.75,0.77,,0.96,4.03,3.05,1.09,2.1
Total,,,,,,,,,,,25.16,25.57,,21.89,,29.3,25.89,38.09,22.52,33.29
,,,,,,,,,,,,,,,,,,,,
1872 Jan out of order,,,,,,,,,,,,,,,,,,,,
1874 Dec gauge out of order,,,,,,,,,,,,,,,,,,,,
totals removed for these years,,,,,,,,,,,,,,,,,,,,
