"KIRKHAM WEETON",,,,,,,,,,,,
Grid ref,SD384346,Long,-2.936826,Lat,53.804032,,,,,,,
Station no,3053,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.00,1.94,4.90,3.48,3.90,2.70,4.65,0.68,1.15,2.81,,
February,2.60,2.12,3.45,3.33,3.85,1.70,4.10,2.28,1.00,1.00,,
March,0.66,3.42,1.50,2.83,2.75,3.15,3.04,3.50,1.91,2.48,,
April,2.50,2.00,2.63,2.12,1.90,2.95,1.20,1.25,2.12,2.91,,
May,2.40,1.03,2.05,3.20,1.30,0.55,3.80,2.80,2.38,1.53,,
June,2.36,1.97,1.92,2.50,1.90,2.45,1.00,5.20,2.10,2.60,,
July,1.52,1.60,3.95,4.20,1.20,2.15,2.18,1.95,4.13,5.18,,
August,5.27,3.20,3.40,4.40,3.30,3.10,4.00,3.20,4.25,2.69,,
September,2.45,1.43,1.35,6.10,2.90,3.65,1.55,0.60,3.76,2.48,,
October,6.00,3.50,4.25,8.35,2.94,3.23,6.00,2.50,2.46,4.71,,
November,3.92,5.68,3.00,4.20,3.15,4.80,2.82,2.65,2.78,1.05,,
December,4.40,4.90,3.48,2.50,2.85,1.10,3.60,2.30,2.62,5.88,,
Total,38.08,32.79,35.88,47.21,31.94,31.53,37.94,28.91,30.66,35.32,,
Calc annual,38.08,32.79,35.88,47.21,31.94,31.53,37.94,28.91,30.66,35.32,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
