GRIMSBY - WESTLANDS HOUSE,,,,,,,,,,,,,
Grid ref,TA262085,Long,-0.096,Lat,53.558,Elevation,23,ft,,,,,
Station no,2576,,,,,,,,,,,,
,,,,,,,,,,,,,
,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938
January,2.50,1.43,3.26,1.68,2.25,2.28,1.06,1.43,1.48,2.20,3.41,3.03,1.60
February,1.18,1.37,1.87,0.64,0.82,2.12,0.77,1.98,1.04,2.63,2.93,2.04,0.86
March,0.33,1.43,1.81,0.09,1.60,0.51,1.62,2.23,2.39,0.62,0.62,2.47,0.39
April,1.72,1.84,0.95,0.74,2.41,2.98,2.89,0.96,1.64,2.25,1.51,3.11,0.22
May,1.86,1.15,1.07,1.19,1.41,2.79,4.22,1.84,0.86,0.34,1.74,3.55,2.20
June,3.68,2.90,2.08,0.90,1.86,3.00,0.40,0.89,1.32,2.09,4.01,0.89,1.35
July,2.08,2.46,0.32,1.10,5.01,5.28,2.64,1.47,0.77,0.26,4.03,2.06,2.98
August,1.94,4.16,2.60,1.47,2.46,4.84,1.98,0.50,2.31,1.36,1.25,0.55,3.05
September,0.67,3.52,0.42,1.10,3.97,2.73,1.74,2.79,1.71,5.25,1.78,1.31,3.64
October,2.83,1.45,3.15,2.61,2.02,0.94,3.07,3.97,1.25,3.48,1.94,2.00,2.61
November,2.50,2.89,2.78,3.41,2.70,1.83,1.35,2.20,1.64,3.65,2.70,2.69,2.27
December,0.67,2.32,1.47,3.91,1.49,1.16,0.96,0.61,2.93,2.17,1.26,3.71,3.54
Total,21.96,26.92,21.78,18.84,28.00,30.46,22.70,20.87,19.34,26.30,27.18,27.41,24.71
,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/097,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/172,,,,,,,,,,,,,
