ACKWORTH-HILLTHORPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE474161,Long,-1.2845569,Lat,53.639277,Elevation,105,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,2.67,0.76,0.95,0.79,1.61,0.75,3.91,2.61,0.97,2.21,0.43,2.46,1.55,2.91,2.55,1.91,2.75,1,,,,,,,
February,,,,,,,1.78,0.99,1.09,0.52,1.47,1.02,1.19,0.67,0.98,2.42,3.58,0.56,1.79,2.15,1.7,0.12,2.31,4.06,,,,,,,
March,,,,,,,1.08,1.35,3.34,3.03,0.32,1.05,2.34,2.25,1.69,0.74,4.3,1.82,1.12,4.2,1.61,0.68,1.54,1.32,,,,,,,
April,,,,,,,0.73,1.92,2.55,1.79,1.47,0.8,0.2,2.33,0.5,0.7,0.99,1.68,1.12,1.68,3.3,1.35,2.36,1.81,,,,,,,
May,,,,,,,1.58,3.59,2.51,1.97,1.94,0.62,4.28,1.93,1.26,1.23,2.28,2.26,2.36,0.85,2.22,1.12,0.76,2.64,,,,,,,
June,,,,,,,2.54,3.25,1.15,3.72,3.11,2.9,4.21,0.7,2.52,0.47,1.07,2.19,1.1,0.9,1.81,0.34,1.18,1,,,,,,,
July,,,,,,,1.83,2.44,2.81,3.08,3.14,0.12,4.22,0.7,2.96,3.94,1.22,0.58,3.68,3.63,5.44,0.64,3.4,4.16,,,,,,,
August,,,,,,,1.71,1.86,1.59,2.6,2.79,1.61,4.64,1.01,2.06,2.19,1.94,4.01,1.97,2.86,1.23,4.07,5.28,2.14,,,,,,,
September,,,,,,,0.42,0.73,1.63,1.7,0.13,1.82,1.23,2.41,0.77,0.67,1.49,0.81,4.51,1.83,1.22,0.68,2.27,2.58,,,,,,,
October,,,,,,,4.71,4.77,1.08,1.74,2.13,1.93,2.2,3.21,1.24,0.99,2.54,3.43,1.61,3.25,2.02,1.28,0.6,1.2,,,,,,,
November,,,,,,,2.91,3.32,0.88,0.29,2.76,2.79,1.87,1.48,2.46,2.17,2.84,0.86,1.06,1.68,1.17,2.1,0.7,2.01,,,,,,,
December,,,,,,,2.4,2.49,1.03,4.37,2.57,3.54,1.56,1.28,4.19,6.14,2.08,1.2,3.44,3.36,2.14,2.17,2.91,2.14,,,,,,,
Total,,,,,,,24.36,27.47,20.61,25.6,23.44,18.95,31.85,20.58,21.6,23.87,24.76,21.86,25.31,29.3,26.41,16.46,26.06,26.06,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Hillthorpe Farm. Stated altitude of 175 is 70 ft. too high OS map altitude used.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relationships to church and station match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
