"YATTENDON (YATTENDON COURT)",,,,,,,,,,,,
Grid ref,SU559744,Long,-1.196683,Lat,51.465818,,,,,,,
Station no,810,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.89,1.96,0.89,1.08,3.02,4.26,1.61,3.17,3.67,3.60,,
February,4.98,0.82,1.51,2.56,1.24,0.41,3.14,2.83,0.30,2.40,,
March,3.31,2.68,0.25,2.63,1.44,0.81,1.28,0.64,3.35,1.43,,
April,3.31,1.42,2.34,0.26,0.27,1.53,0.15,1.35,2.45,0.67,,
May,2.41,2.66,1.22,2.71,3.72,0.25,1.64,2.25,0.30,1.67,,
June,0.51,1.88,2.15,4.28,3.03,1.80,1.59,3.64,1.48,2.36,,
July,1.48,0.32,2.49,2.86,0.08,2.10,3.39,3.25,2.29,2.54,,
August,4.32,3.17,1.90,3.62,1.24,3.78,2.85,4.14,1.84,4.18,,
September,3.52,1.63,1.95,1.85,1.31,2.59,3.09,3.31,0.02,4.00,,
October,0.85,4.53,3.20,2.01,2.84,1.53,1.94,3.34,2.28,7.86,,
November,6.18,3.09,1.57,4.90,2.15,0.50,1.92,2.47,2.58,3.65,,
December,2.24,2.20,0.80,2.66,2.54,4.44,2.82,2.92,4.79,3.91,,
Total,36.00,26.36,20.27,31.42,22.88,24.00,25.42,33.31,25.35,38.27,,
Calc annual,36.00,26.36,20.27,31.42,22.88,24.00,25.42,33.31,25.35,38.27,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
