YATTENDON-COURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU559744,Long,-1.1966828,Lat,51.465818,Elevation,360,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,778/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.59,2.47,4.01,2.44,0.84,0.95,2.96,1.74,0.58,1.81,1.95,2.8,0.53,2.36,0.73,3.4,4.11,1.19,0.8,2.69,3.69,,4.1,0.48,,0.8,2.15,1.06,4.41,3.67,0.69,3.48,1.25,1.25,3.01,3.11,,,,,,,,,4.31,1.12,3.49,1.2,2.13,,,,,,,,,,,4.6,1.85,1.72,2.14,2.29,5.45,1.1,0.57,2.89,1.96,0.89,1.08,3.02,4.26,1.61,3.17,3.67,3.6
February,,,,,1.29,3.04,0.74,0.69,1.37,1.89,0.73,0.03,1.31,3.64,1.6,0.11,0.53,3.2,1.52,2.97,,2.11,1.5,1.32,3.49,,2.09,1.44,1.14,0.55,3.51,1.65,2.15,0.95,2.99,4.95,4.67,1.08,1.14,2.65,,,,,,,,,1.95,0.71,0.71,1.7,0.11,,,,,,,,,,,1.03,0.99,1.85,2.24,1.54,1.14,1.31,4.29,4.98,0.82,1.51,2.56,1.24,0.41,3.14,2.83,0.3,2.4
March,,,,,1.65,1.78,1.37,1.83,3.43,1.85,1.06,2.25,0.69,0.15,1.5,1.73,3.41,3.8,1.08,0.6,1.07,1.02,1.72,3.45,1.88,,1.67,1.1,3.14,3.29,1.05,1.86,3.71,2.18,4.55,1.14,4.71,2.06,0.9,5.11,,,,,,,,,2.75,0.05,0.89,0.09,1.57,,,,,,,,,,,0.58,0.18,0.84,1.32,5.69,1,1.45,0.99,3.31,2.68,0.25,2.63,1.44,0.81,1.28,0.64,3.35,1.43
April,,,,,1.79,2.21,1.71,1.17,2.63,3.33,1.66,1.13,0.73,0.04,1.79,1.72,0.62,1.32,1.6,2.59,0.87,2.74,1.24,2.28,1.25,,0.4,2.97,5.21,1.48,2.03,1.25,0.09,3.45,0.74,1.1,0.8,1.71,3.64,2.3,,,,,,,,,1.4,1.09,2.32,3.54,2.5,,,,,,,,,,,0.69,1.21,1.08,2.08,2.18,1.65,1.21,2.16,3.31,1.42,2.34,0.26,0.27,1.53,0.15,1.35,2.45,0.67
May,,,,,0.76,2.05,4.08,1.48,1.44,3,2.09,2.6,1.08,0.86,2.01,0.7,0.26,1.85,2.47,2.09,1.06,1.01,2.36,4.01,3.85,,1.6,1.88,1.98,1.77,1.9,2.13,1.34,1.92,2,4.45,1.74,1.49,1.61,0.27,,,,,,,,,1.65,1.14,1.83,3.33,4.41,,,,,,,,,,,2.55,0.5,2.07,3.06,1.63,3.97,2.47,1.97,2.41,2.66,1.22,2.71,3.72,0.25,1.64,2.25,0.3,1.67
June,,,,,3.61,1.51,0.86,1.34,2.56,3.72,1.66,0.89,1.4,0.75,2.41,1.7,3.08,2.45,1.61,1.36,2.35,2.44,1.67,6.03,0.57,,2.71,2.3,1.03,3.92,5.28,1.62,3.75,0.67,1.32,1.03,1.93,2.19,0.75,1.1,,,,,,,,,2.47,1.25,1.15,1.34,1.18,,,,,,,,,,,1.1,2.09,2.46,2.7,1.29,2.22,0.26,2,0.51,1.88,2.15,4.28,3.03,1.8,1.59,3.64,1.48,2.36
July,,,,,2.09,0.16,2.66,1.35,4.67,1.83,3.16,2.26,2.68,3.01,3.39,3.31,0.76,0.59,0.2,0.44,0.84,1.56,0.99,2.32,1.57,,0.65,2.7,2.71,2.26,2.39,0.07,2.34,1.71,3.15,3.74,1.26,5.46,4.78,1.72,,,,,,,,,2.4,1.25,2.41,3.25,2.5,,,,,,,,,,,1.4,2.04,1.97,0.65,1.77,0.86,0.96,4.66,1.48,0.32,2.49,2.86,0.08,2.1,3.39,3.25,2.29,2.54
August,,,,,1.18,0.92,1.05,1.34,1.32,2.09,2.98,4.44,4.05,1.36,2.44,3.74,3.32,2.61,0.88,1.3,3.22,2,3.19,3.34,2.01,,0.72,1.55,3.44,2.67,2.51,1.28,4.63,1.26,2.53,2.8,4.92,5.08,1.05,3.1,,,,,,,,,1.51,0.7,2.46,4.15,2.3,,,,,,,,,,,1.53,1.26,1.07,4.36,0.47,3.91,1.1,2.92,4.32,3.17,1.9,3.62,1.24,3.78,2.85,4.14,1.84,4.18
September,,,,,1.88,3.94,1.77,2.27,1.21,1.56,1.1,1.26,2.5,0.86,2.74,1.06,5.68,2.95,1.21,1.79,0.5,1.51,0.72,2.42,1.56,,0.87,0.69,2.13,4.28,0.38,0.91,2.04,1.75,0.95,3.19,1.31,1.9,4.87,2.49,,,,,,,,,1.43,0.5,3.12,1.82,4.32,,,,,,,,,,1.37,1.15,2.06,1.76,3.99,1.16,2.39,3.18,3.62,3.52,1.63,1.95,1.85,1.31,2.59,3.09,3.31,0.02,4
October,,,,1.84,0.94,3.76,3.84,1.7,1.19,2.93,0.81,8.38,3.49,3.21,3.22,3.74,2.76,1.13,4.45,1.98,1.59,1.62,1.65,8.08,1.5,,5.07,5.66,1.19,5.33,4.01,1.7,3.14,4.43,2.53,3.48,4.56,4.45,1.95,1.51,,,,,,,,,5.13,2.89,1.25,0.75,4,,,,,,,,,,2.98,3.69,3.99,3.24,1.5,0.48,2.21,6.97,0.62,0.85,4.53,3.2,2.01,2.84,1.53,1.94,3.34,2.28,7.86
November,,,,2.43,1.33,3.82,3.32,3.06,4.58,0.96,1.94,2.73,2.19,1.98,5.37,5.39,1.01,0.74,4.37,3.7,1.65,0.58,2.2,1.79,1.86,,3.95,2.45,0.97,0.65,3.68,3.12,2.03,2.92,2.83,2.16,4.29,0.52,2.4,1.74,,,,,,,,,1.7,7.13,4.5,2.99,1.57,,,,,,,,,,1.86,1.26,4.44,0.25,5.7,1.27,1.8,2.95,5.15,6.18,3.09,1.57,4.9,2.15,0.5,1.92,2.47,2.58,3.65
December,,,,0.71,2.32,1.04,4.8,1.41,1.62,1.44,0.95,4.39,0.95,2.62,2.25,1.99,3.77,4.15,3.16,1.13,3.8,4.19,1.43,2.25,2.74,,2.13,4.02,2.5,4.03,4.61,6.59,3.39,1.17,7.07,5.36,3.46,1.08,2.16,4.5,,,,,,,,4.64,1.95,5.91,3.18,0.9,0.81,,,,,,,,,,3.63,1.59,1.67,3.67,2.21,2.85,3.48,1.34,1.68,2.24,2.2,0.8,2.66,2.54,4.44,2.82,2.92,4.79,3.91
Total,,,,,21.43,26.7,30.21,20.08,26.86,25.55,21.1,32.1,21.65,20.29,30.67,27.99,25.73,27.15,23.28,23.35,,21.97,19.47,39.98,25.97,,25.96,27.24,,31.03,33.5,23.24,33.02,26.08,31.35,36.88,34.9,28.27,28.26,29.6,,,,,,,,,28.65,23.74,27.31,25.06,27.4,,,,,,,,,,,21.17,22.28,21.98,31.95,22.62,30.08,24.3,30.63,36,26.36,20.27,31.42,22.88,24,25.42,33.31,25.35,38.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is from the 1950s record and is on Yattendon Park at the correct latitude. The location is 100m or so from Yattendon Courts. Early records have stated altitude of 450, which suggests the gauge was closer to the Court for the early years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
