LEICESTER-GENERAL-HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK620039,Long,-1.0854258,Lat,52.629325,Elevation,325,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2501/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.64,5.25,2.49,3.14,2.45,3.63,2.41,1.72,1.76,1.58,3.8,1.27,0.67,2.67,,,,,,,,,
February,,,,,,,,0.66,0.78,3.19,2.19,0.77,0.74,1.27,1.56,2.87,1.76,1.57,0.64,3.33,3.12,,,,,,,,,
March,,,,,,,,0.21,1.24,2.1,3.24,1.31,0.91,0.3,0.65,0.84,5.32,0.9,1.72,0.7,3.61,,,,,,,,,
April,,,,,,,,0.05,1.83,2.07,1.36,1.03,0.63,1.91,1.32,1.62,2,1.33,2.2,1.81,2.11,,,,,,,,,
May,,,,,,,,1.56,0.95,1.2,2.91,2.5,2.9,0.63,2.36,2.09,1.86,2.11,2.25,2.13,3.08,,,,,,,,,
June,,,,,,,,1.32,1.27,1.44,1.38,0.66,2.99,1.88,2.25,2.68,1.05,1.81,0.69,2.05,1.23,,,,,,,,,
July,,,,,,,3.07,2.61,3.27,3.16,4.58,2.17,0.93,2.19,3.16,1.7,2.59,1.12,2.8,1.61,1,,,,,,,,,
August,,,,,,,0.5,3.53,4.51,0.21,3.22,1.88,1.5,2.34,2.55,4.86,0.37,4.06,1.62,2.11,4.26,,,,,,,,,
September,,,,,,,1.67,1.94,1.45,0.68,0.34,0.71,1.86,3.16,0.94,4.33,0.9,2.94,1.41,3.15,,,,,,,,,,
October,,,,,,,2.86,2.02,3.32,3.89,2.09,2.95,1.84,2.3,3.34,1.37,0.23,2.65,4.47,0.65,,,,,,,,,,
November,,,,,,,1.31,2.1,3.26,5.07,2.75,2.16,1.21,3.16,0.54,5.24,1.57,1.52,2.59,3.63,,,,,,,,,,
December,,,,,,,1.9,3.07,1.35,2,0.8,1.96,0.77,1.37,2.04,2.11,2.37,3.31,1.25,1.52,,,,,,,,,,
Total,,,,,,,,21.71,28.48,27.5,28,20.55,19.91,22.92,22.43,31.47,21.6,27.12,22.91,23.36,,,,,,,,,,
