"KESWICK METEOROLOGICAL STATION, High Hill",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY260238,Long,-3.147069,Lat,54.603927,Elevation,254,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,5.24,6.45,9.36,4.59,4.3,6.14,6.54,9.15,7.29,12.16,1.3,9.97,5.07,11.94,9.04,9.56,3.17,6.72,8.59,7.56,8.85,2.04,1.62,4.85,8.77,8.54,5.14,8.15,7.05,9.63,4.42,4.03,4.67,5.79,2.32,4.58,4.72,3.44,8.99,6.31,4,
February,,,,,,,,,,0.52,5.52,0.27,5.41,7.65,0.58,7.39,6.96,2.54,5.95,0.82,0.52,3.85,0.06,5.35,0.22,8.92,3.48,6.49,2.37,8.16,1.76,6.33,2.36,5.96,2.52,6.99,4.67,1.26,5.16,5.12,6.77,5.56,1.23,1.96,4.77,1.69,0.78,5.29,5.99,1.63,
March,,,,,,,,,,4.87,8.99,10.99,3.81,2.14,0.93,2.16,2.21,4.49,4.48,0.8,2.36,0.99,3.51,3.88,2.99,1.15,2.32,3.05,3.56,5.58,5.76,3.35,3.2,1.7,0.69,4.38,3.39,5.48,5.14,1.28,3.77,4.46,2.38,0.79,3.68,1.38,2.13,3.5,1.25,3.33,
April,,,,,,,,,,2.98,3.71,1.35,2.71,3.3,2.78,6.59,3.8,3.79,1.65,1.55,1.54,2.57,4.68,1.71,4.01,4.1,0.97,2.12,0.53,2.94,2.57,2.38,3.88,4,2.94,2.58,1.75,11.86,2.54,7.17,4.7,4.86,3.18,3.82,1.16,1.99,1.2,1.06,1.7,4.76,
May,,,,,,,,,,2.89,6.98,3.34,2.21,4.44,4.77,6.33,3.08,2.74,2.08,3.46,2.16,3.95,3.23,3.03,5.18,0.85,1.12,1.92,3.83,0.79,1.23,3.99,4.81,5.14,3,5.87,1.28,3.34,1.22,2.84,2.24,3.08,3.28,2.49,4.23,5.08,3.14,2.87,5.02,,
June,,,,,,,,,,3.12,2.4,0.36,3.04,1.67,2.37,0.22,4.32,4.61,6.64,1.6,2.82,7.4,2.25,2.71,2.55,4.54,3.75,2.12,8.52,4.68,0.96,0.7,1.2,3.9,5.91,3.92,4.39,3.15,9.12,0.8,2.63,2.26,2.99,1.57,5.29,3.24,2.24,1.48,3.98,,
July,,,,,,,,,,1.49,5.46,3.81,6.34,3.39,6.72,2.18,4.63,6.17,5.22,5.68,4.21,7.2,7.33,3.89,1.53,1.8,6.63,2.95,6.74,7.69,6.58,1.76,4.58,3.51,2.72,4.91,5.4,3.54,3.17,1.91,3.41,3.07,3.99,6.5,5.45,2.63,7.23,3.55,3.26,,
August,,,,,,,,,,4.18,2.33,6.64,4.21,12.02,3.6,4.19,5.84,6.11,7.83,5.29,8.56,4.25,1.21,2.86,6.14,2.54,1.7,3.15,2.96,3.43,3.07,8.26,6.6,7.98,5.68,2.79,8.3,0.02,6.62,3.13,8.06,5.44,8.55,5.93,6.05,4.36,10.65,7.53,6.73,,
September,,,,,,,,,,4.4,2.56,2.41,3.26,7.3,9.19,5.04,5.59,7.75,3.56,1.72,3.59,2.16,6.98,0.98,7.03,9.05,6.85,5.08,3.65,1.8,5.91,1.86,9,6.54,7.55,6.43,8.87,5.24,6.97,2.07,14.51,8.77,6.01,8.95,10.33,4.14,4.1,6.7,6.44,,2.97
October,,,,,,,,,,2.24,2.81,3.86,2.09,11.65,4.89,6.95,5.02,7.55,9.16,7.53,10.29,3.6,8.43,5.76,8.66,10.36,7.53,3.35,16.99,3.2,6.82,7.13,7.44,8.87,5.79,7.18,0.69,0.9,4.94,8.87,5.66,1.14,5.67,3.35,13.58,3.44,4.5,6.29,5.41,,4.05
November,,,,,,,,,,3.74,4.54,2.96,2.59,7.63,4.1,2.49,9.13,4.72,11.03,12.58,6.73,12.66,3.46,1.86,1.38,5.09,6.37,1.25,11.33,9.46,7.75,4.76,1.7,4.14,8.55,0.42,11.3,10.11,4.79,10.1,6.77,13.11,3.21,10.05,13.22,2.2,2.51,2.11,1.21,,10.17
December,,,,,,,,,,8.27,5.35,8.31,8.85,4.97,13.91,6.22,1.22,1.45,5.18,12.82,5.74,4.42,9.51,0.41,9.26,3.44,9.27,2.88,5.31,2.68,6.24,3.65,10.12,3.54,6.5,4.81,7.74,3.13,8.17,10.66,2.6,12.27,5.1,3.5,8.46,8.28,8.65,6.99,3.96,,
Total,,,,,,,,,,43.94,57.1,53.66,49.11,70.46,59.98,56.3,60.95,59.21,74.94,55.15,58.49,58.12,62.59,41.48,58.51,55.01,56.71,42.95,73.35,59.26,50.69,45.79,59.74,64.05,60.39,55.42,65.93,55.08,67.47,58.37,65.15,68.69,51.38,51.23,80.8,43.15,50.57,56.36,51.26,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Nov 8.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
