HINCKLEY-ASHBY-ROAD,,,,,,,,,,
Grid ref,SP432957,Long,-1.364228,Lat,52.557431,Elevation,411,ft,,
Station no,2499/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.45,4.62
February,,,,,,,,,0.08,1.79
March,,,,,,,,,1.83,1.35
April,,,,,,,,,2.7,1.18
May,,,,,,,,,0.41,0.97
June,,,,,,,,,1.27,3.69
July,,,,,,,,,1.4,2.58
August,,,,,,,,,1.37,2.18
September,,,,,,,,,0.09,2.89
October,,,,,,,,2.26,2.18,4.82
November,,,,,,,,1.83,3.04,3.33
December,,,,,,,,2.97,3.89,3.18
Total,,,,,,,,,21.71,32.58
