NANTGARW (COKE OVENS),,,,,,,,,,,,
Grid ref,ST117856,Long,-3.275220,Lat,51.562340,,,,,,,
Station no,4075/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,4.71,6.04,5.88,,
February,,,,,,,,6.14,0.42,4.36,,
March,,,,,,,,1.39,4.16,2.79,,
April,,,,,,,,1.25,4.80,3.46,,
May,,,,,,,,4.37,1.31,1.50,,
June,,,,,,,,3.98,1.89,3.00,,
July,,,,,,,,6.59,4.20,7.44,,
August,,,,,,,,7.01,1.57,5.97,,
September,,,,,,,,8.94,0.53,7.13,,
October,,,,,,,,7.02,6.73,8.85,,
November,,,,,,,,2.24,6.80,12.14,,
December,,,,,,,,5.27,11.67,8.28,,
Total,,,,,,,,58.91,50.12,70.80,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.91,50.12,70.80,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,-0.00,,
