SWYNCOMBE-COOKLEY-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU699902,Long,-0.992044,Lat,51.606307,Elevation,720,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1080/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,2.45,0.87,4.89,5.2,3.33,5.96,3.06,2.89,3.51,5.08,1.91,1.94,1.99,2.26,6.23,1.5,0.71,3.14,1.76,1.37,1.61,2.96,4.43,2.29,3.52,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,0.32,2.47,2.94,4.82,0.71,1.42,2.65,3.14,0.78,1.26,1.32,2.38,2.29,1.58,0.82,1.59,4.93,5.6,0.81,2.49,2.8,1.79,0.61,3.82,4.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,2.64,0.42,1.88,3.91,0.45,1.98,2.76,2.82,1.9,0.65,0.31,0.92,1.06,5.21,0.82,1.69,1.26,4.38,2.78,0.64,2.95,1.5,0.94,2,1.86,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,2.18,4.3,2.18,3.43,0.17,3.42,2.62,1.54,2.06,1.53,1.54,1.54,2.01,2.73,1.97,1.76,1.9,2.9,1.95,3.24,0.45,0.81,2.04,0.42,1.33,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,0.82,1.26,0.62,4.32,2.92,2,1.46,1.85,3.69,2.68,0.71,2.07,4.49,2.02,4.1,2.33,1.95,3.45,2.78,2.7,3.86,4.67,0.37,1.92,2.54,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,1.08,5.2,3.53,2.88,0.84,1.48,1.31,1.86,0.34,2.12,2.27,3.13,3.54,1.36,2.67,0.47,2.61,1.45,1.48,3.29,5.05,2.75,3.26,2.17,4.68,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,1.18,0.64,4.32,1.29,2.33,4.61,2.84,6.11,2.47,2.15,3.34,3.25,1.76,2.01,1.44,1.51,5.21,1.52,0.7,3.63,3.41,0.26,2.77,5.11,2.91,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,2.26,2.35,0.68,0.83,3.91,2.65,0.39,4.07,2.39,2.13,2.03,1.54,4.28,0.36,3.16,1.22,3.36,4.6,4.72,2.3,4.71,0.34,4.83,3.24,3.82,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,2.66,2.12,4.56,3.16,2.96,2.01,1.08,1.21,0.15,1.68,1.88,3.14,2.59,4.5,1.23,3.2,1.93,4.23,3.5,2.86,2.52,2.57,1.6,2.5,3.83,4.22,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,2.22,1.64,3.68,1.87,3.7,3.19,5.89,3.65,1.22,3.81,4.02,4.11,4.24,1.35,0.53,3.15,7.31,0.5,0.97,3.98,3.14,2.52,2.72,1.43,2.62,3.62,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
