GILMERTON STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT296680,Long,-3.1274482,Lat,55.899949,Elevation,240,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,,0.79,1.59,1.8,2.56,3.74,1.75,3.82,1.21,2.32,0.96,3.24,,,,,,,,,
February,,,,,,,,,,,1.79,2.18,2.32,1.22,1.59,2.37,1.54,1.12,0.1,1.39,2.39,,,,,,,,,
March,,,,,,,,,,,1.76,2.02,2.99,1.93,1.67,2.13,2.57,2.01,4.95,1.11,1.6,,,,,,,,,
April,,,,,,,,,,,3.75,1.06,2.69,1.61,1.01,2.32,1.28,0.62,1.38,2.03,0.53,,,,,,,,,
May,,,,,,,,,,,1.16,1.99,1.58,0.83,2.11,2.2,4.5,2.18,0.58,1.23,1.31,,,,,,,,,
June,,,,,,,,,,,1.77,1.74,2.87,2.11,0.65,0.62,1.49,0.42,2.08,0.22,3.69,,,,,,,,,
July,,,,,,,,,,6.92,4.02,3.64,4.63,4.05,4.9,0.87,3.21,2.26,5.94,4.08,2.89,,,,,,,,,
August,,,,,,,,,,3.39,0.74,6.63,1.78,2.82,2.9,2.36,0.98,2.34,1.8,5.39,2.76,,,,,,,,,
September,,,,,,,,,,1.4,3.18,3.64,2.26,2.5,2.63,2.78,1.91,4.17,0.65,1.11,1.86,,,,,,,,,
October,,,,,,,,,,1.12,3.69,1.95,2.51,2.63,1.38,1.13,4.33,1.91,1.33,3.3,2.5,,,,,,,,,
November,,,,,,,,,,3.06,3.59,2.51,2.45,2.54,1.72,0.9,1.95,3.07,4.92,0.7,3.92,,,,,,,,,
December,,,,,,,,,,1.49,3.88,1.57,4.53,1.22,2.98,1.18,2.3,1.26,1.13,1.58,2.07,,,,,,,,,
Total,,,,,,,,,,,30.12,30.52,32.41,26.02,27.28,20.61,29.88,22.57,27.18,23.1,28.76,,,,,,,,,
