"ST MINVER (TREBETHERICK)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1890,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,4.17,3.24,3.73,2.16,4.54,3.54,5.43,5.69,5.89,2.30,6.89,
February,0.56,0.28,4.27,7.01,1.45,5.99,2.48,2.25,2.85,1.81,1.63,
March,3.68,2.62,3.36,1.19,1.99,0.87,0.55,3.11,4.79,0.31,2.61,
April,3.75,0.78,2.63,2.91,2.86,2.70,1.67,2.23,2.46,0.57,2.38,
May,1.76,1.65,1.20,2.10,2.13,4.33,1.41,1.17,1.01,3.62,1.92,
June,2.02,0.03,1.66,0.71,1.44,0.00,1.96,3.14,2.04,2.21,0.74,
July,4.33,1.00,3.58,1.54,3.56,2.61,1.88,2.14,1.71,1.27,1.86,
August,1.79,3.57,2.52,1.76,3.26,2.69,1.90,3.02,2.05,1.95,4.35,
September,1.47,1.18,2.40,2.92,3.22,2.77,0.50,7.19,2.06,0.62,4.01,
October,6.79,1.45,1.10,5.95,6.41,3.38,3.92,2.01,6.35,5.51,4.21,
November,2.07,3.03,2.07,4.04,3.16,3.72,6.29,3.22,3.80,8.81,4.56,
December,2.96,2.39,5.62,3.78,5.50,4.63,0.85,2.67,4.67,7.46,3.46,
Total,35.35,21.22,34.14,36.07,39.52,37.23,28.84,37.84,39.68,36.44,38.62,
Calc annual,35.35,21.22,34.14,36.07,39.52,37.23,28.84,37.84,39.68,36.44,38.62,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,
