"DALMALLY, GLENORCHY MANSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 16721 27477,Long,-4.971753,Lat,56.403867,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,11.16,7.93,,6.58,,8.13,14.97,5.55,6.61,6.48,14.49,16.38,8.78,15.84,8.03,7.6,13.69,13.71,18.88,2.77,12.66,11.11,,,,,,,,,
February,10.5,13.08,,5.75,,11.38,8.29,2.26,12.21,0.58,13.11,5.79,8.99,9.34,4.81,6.77,6.66,4.51,10.45,2.32,0.57,9.08,,,,,,,,,
March,4.38,3.43,,8.79,,9.57,2.5,4.68,2.9,4.82,9.44,12.35,2.71,2.85,0.58,4.22,9.75,5.44,6.72,1.73,5.7,1.4,,,,,,,,,
April,7.26,6.55,,5,6.71,6.79,5.94,3.09,1.27,10.03,3.11,2.4,4.21,4.94,4.62,7.09,2.72,9.02,3.74,3.31,2.64,3.93,,,,,,,,,
May,4.3,3.62,,6.88,4.22,1.16,6.88,1.99,3.03,1.13,9.33,6.42,10.73,3.81,3.8,8.74,4.12,4.62,1.4,4.68,4.82,3.88,,,,,,,,,
June,1.9,3.63,,4.32,4.32,1.67,1.89,4.54,3.64,6.66,4.19,2.32,4.61,3.84,5.43,2.53,4.74,6.65,6.27,5.45,4.32,7.6,,,,,,,,,
July,5.46,6.03,,1.44,2.56,7.53,4.23,2.9,4.95,2.7,5.51,6.76,6.66,10.59,9.35,3.42,6.4,4.61,7.95,4.58,4.13,7.7,,,,,,,,,
August,8.5,5.79,,2.48,7.27,4.55,3.72,8.03,7.03,5.37,7.02,6.78,5.26,7.83,6.8,5.25,7.95,8.12,7.3,8.6,8.74,1.49,,,,,,,,,
September,4.37,3.71,,3.22,5.6,2.64,3.42,9,8.34,9.59,4.51,6.46,5.33,12.91,8.49,6.36,6.9,8.64,6.88,5.47,5.04,2.37,,,,,,,,,
October,3.5,4.85,,5.05,3.76,3.45,13.35,13.53,11.63,4.02,4.31,9.02,4.21,14.26,5.99,7.5,8.89,9.24,11.65,13.05,12.36,6.9,,,,,,,,,
November,3.67,10.55,,9.85,11.17,2.18,13.33,21.05,10.92,8.35,11.24,3.4,5.79,8.96,6.59,1.56,9.78,8.9,11.24,10.61,13.32,9.92,,,,,,,,,
December,11.39,12.45,,9.08,12.63,7.37,9.32,6.36,9.74,11.82,6.68,18.96,9.16,9.29,13.72,7.54,10.84,0.96,8.1,19.59,8.9,12.34,,,,,,,,,
Total,76.39,81.62,,68.44,,66.42,87.84,82.98,82.27,71.55,92.94,97.04,76.44,104.46,78.21,68.58,92.44,84.42,100.58,82.16,83.2,77.72,,,,,,,,,
