"CHARING PUMPING STATION",,,,,,,,,,,,
Grid ref,TQ946485,Long,0.784198,Lat,51.202559,,,,,,,
Station no,287,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.79,,
February,,,,,,,,,,0.49,,
March,,,,,,,,,,3.70,,
April,,,,,,,,,,1.61,,
May,,,,,,,,,,0.87,,
June,,,,,,,,,,3.81,,
July,,,,,,,,,,4.53,,
August,,,,,,,,,,2.37,,
September,,,,,,,,,,3.68,,
October,,,,,,,,,,7.68,,
November,,,,,,,,,,1.05,,
December,,,,,,,,,2.65,4.80,,
Total,,,,,,,,,,35.38,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.65,35.38,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
