JURA LOWLANDMANS BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ÿNR 575 727,Long,-5.878663,Lat,55.886667,Elevation,74,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,9.92,4.76,8.46,5.31,4.17,6.99,7,6.92,5.85,8.8,4.08,8.72,8.28,2.91,4.94,1,5.12,6.29,8.84,4.1,5.06,4.97,4.63,5.86,10.03,4.45,5.51,2.67,,,,,,
February,,,,,,,5.49,5.11,8.64,6.13,2.45,6.1,4.7,0.96,2.92,2.71,4.77,9.21,2.19,3,4.66,4.74,4.34,4.58,3.66,4.57,3.64,4.65,2.2,5.37,0.82,0.79,3.06,6.54,,,,,,
March,,,,,,,3.65,1.9,7.38,0.5,1.82,4.36,3.53,1.87,4.83,2.35,8.18,2.6,4.77,4.31,4.37,6.55,4.2,1.28,5.51,2.91,3.75,2.68,4.47,2.85,5.2,5.34,0.82,2.85,,,,,,
April,,,,,,,1.82,7.39,2.95,2.11,3.35,3.28,1.75,1.02,3.69,1.8,2.03,2.76,3.75,0.6,3.58,1.75,2.14,2.4,0.66,2.5,2.46,2.98,2.27,1.99,2.75,0.7,1.39,2.17,,,,,,
May,,,,,,,1.44,2.84,3.97,0.89,3.82,2.26,2.29,3.4,1.79,2.97,0.55,1.43,2.64,2.81,1.7,3.28,2.26,3.02,4.23,2.33,3.47,1.53,5.02,1.97,1.16,2.82,6.51,2.8,,,,,,
June,,,,,,,2.15,3,1.52,2.67,4.45,1.65,6.65,2.23,1.12,3.05,3.85,5.25,3.89,4.02,2.77,4,3.74,4.33,0.44,3.59,1.95,1.48,5.24,1.42,6.1,0.68,2.53,1.02,,,,,,
July,,,,,,,4.13,3.04,1.36,2.11,3.16,3.91,2.92,5.89,4.56,2.36,3.87,4.56,1.25,6.4,2.81,4.59,3.95,1.7,2.65,2.69,3.23,3.08,4.12,1.45,3.76,1.5,4.73,4.61,,,,,,
August,,,,,,,6,3.54,6.95,0.9,1.73,3.02,4.96,5.59,4.43,5.82,5.92,4.15,4.07,5.99,2.99,3.78,2.39,6.05,4.22,2.56,2.98,2.92,5.18,7.55,4.02,4,4.25,2.37,,,,,,
September,,,,,,,7.87,4.09,1.47,7.95,4.44,1.51,7.48,5.33,6.45,4.61,3.17,2.29,6.45,7.2,2.91,2.02,4.89,4.68,3.94,8.1,6.65,4.4,1.96,2.73,6.32,6.14,6.92,4.08,,,,,,
October,,,,,,,3.68,8.69,6.55,3.94,8.8,4.19,4.89,7.38,10.54,6.74,5.29,8.76,9.73,2.91,1.81,3.96,4.32,5.94,6.16,6,4.58,1.84,4.54,4.32,7.63,6.29,3.79,8.48,,,,,,
November,,,,,,,4.45,2.15,4.5,8.91,2.09,3.71,8.76,3.91,6.97,5.79,2.48,9.62,2.41,2.14,5.67,6.67,11.06,8.35,6.69,2.75,6.86,3.79,7.47,4.19,10.78,5.68,4.87,4.1,,,,,,
December,,,,,,,8.9,6.67,5.51,7.65,4.04,6.41,4.72,5.4,4.28,4.24,6.83,9.99,2.24,3.54,9.76,7.47,6.75,7.28,8.05,5.48,6.83,5.63,5.64,7.76,1.86,8.88,2.72,8.97,,,,,,
Total,,,,,,,59.5,53.18,59.26,49.07,44.32,47.39,59.65,49.9,57.43,51.24,51.02,69.34,51.67,45.83,47.97,49.81,55.16,55.9,55.05,47.58,51.46,39.95,52.74,47.46,60.43,47.27,47.1,50.66,,,,,,
