SPANISH LOCH MADDY N. UIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NF 922 696,Long,-7.156098,Lat,57.611161,Elevation,30,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,4.1,3.95,11.3,8.2,3.3,3.75,6.3,,,6.48,3.39,4.9,9.49,6.61,6.94,10.84,16.24,7.05,8.4,2.25,7.81,,,,,,,,,
February,2.85,3.2,2.05,3.25,4.6,0.75,3.4,,4.43,4.34,3.81,5,4.9,1.49,5.23,4.32,10.27,6.12,7.34,2.87,11.49,,,,,,,,,
March,6,7.7,2.8,3.15,2.6,2.8,1.7,,7.36,1.82,1.41,6.78,2.65,4.44,7.17,2.87,10.1,2.19,4.27,5.44,2.81,,,,,,,,,
April,1.5,0.15,4.35,5.8,-999,0.9,1.1,,3.55,1.96,4.47,4.07,4.67,1.42,5.1,2.27,9.14,2.14,2.91,1.73,3.86,,,,,,,,,
May,3.4,2.8,2.85,3.6,-999,1.7,-999,,3.96,0.42,3.6,1.55,3.68,1.56,2.72,6.51,2.97,2.53,4.05,3.96,2.67,,,,,,,,,
June,1,1.6,4.3,3.8,2.75,0.5,-999,,5.85,2.31,2.49,1.39,4.87,5.77,3.29,3.71,10.09,5.64,5.85,1.84,4.31,,,,,,,,,
July,3.2,3.05,6.4,0.2,2.05,1.2,-999,,3.74,4.06,3.77,5.29,3.8,8.49,4.24,2.95,5.7,4.17,2.47,7.14,1.29,,,,,,,,,
August,4.05,10.6,5,3.1,2.55,3.2,4.9,,7.28,2.97,3.01,4.85,2.19,7.7,6.13,6.61,6,2.59,3.18,6.81,1.33,,,,,,,,,
September,4.6,8.8,3.3,4,3.75,2,3.5,,2.44,7.93,5.64,2.21,5.99,4.96,9.6,4.06,4.88,3.08,9.72,13.65,5.15,,,,,,,,,
October,8.7,4.65,9.9,3.25,2.2,2.6,3.1,,9.9,3.91,5.6,5.94,5.95,8.4,14.89,5.02,10.5,10.01,6.59,4.33,2.75,,,,,,,,,
November,1.9,7.6,7.8,4.5,3.75,2.65,4.3,,7.18,8.12,4.5,4.41,5.49,6.75,6.88,11.67,4.65,10.74,5.45,4.56,11.52,,,,,,,,,
December,1.35,6.3,9.4,4.5,5.4,4,5.7,,6.16,5.42,4.33,8.04,4.74,9.26,5.57,10.17,4.17,13.04,4.65,9.45,9.8,,,,,,,,,
Total,42.65,60.4,69.45,47.35,36.05,26.05,36.4,,,49.74,46.02,54.43,58.42,66.85,77.76,71,94.71,69.3,64.88,64.03,64.79,,,,,,,,,
