KINDERSCOUT-HAYFIELD,,,,,,,,,,,,,,,,,,,,
Grid ref,SK066904,Long,-1.9021788,Lat,53.410373,Elevation,1600,ft.,,,,,,,,,,,,
Station no,RR2342,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,,,,,,,9.4,2.4,,,,,,,,
February,,,,,,,,,,,5.3,2.6,,,,,,,,
March,,,,,,,,,,,0.6,4,,,,,,,,
April,,,,,,,,,,,1.6,5.6,,,,,,,,
May,,,,,,,,,,,5.2,5.4,,,,,,,,
June,,,,,,,,,,,7.3,5.2,,,,,,,,
July,,,,,,,,,,,13.4,10.3,,,,,,,,
August,,,,,,,,,,,7,9.5,,,,,,,,
September,,,,,,,,,,,9.3,5.4,,,,,,,,
October,,,,,,,,,,3.5,5.7,11.2,,,,,,,,
November,,,,,,,,,,6.9,8,6.4,,,,,,,,
December,,,,,,,,,,6.1,2,12.1,,,,,,,,
Total,,,,,,,,,,,74.8,80.1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is Ashop Head at the stated altitude. The record states the gauge is at the head of Ashop Dale and this NGR fits that description.,,,,,,,,,,,,,,,,,,,,
