SCOURIE SUTHERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NC 157 444,Long,-5.149905,Lat,58.34977,Elevation,26,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,5.18,7.5,6.6,2.5,3.55,4.35,,2.8,4.7,5,,5.6,4.7,2.6,3.1,6.1,4.5,5.3,4.4,3.8,3.5,5.4,3.4,1.9,3,3.2,2.6,4.8,2.9,5.13,4.02,2.82,5.24,6.76,4.76,3.7,2.54,4.47,2.86,6.93,1.78,,
February,,,,,,,,2.8,1.4,4.1,3.8,2.8,2.75,,6.15,3.9,6.4,,9.65,5,1.8,3.1,1,1.6,1,2.2,2.9,4.8,2.8,1.8,4.5,2.3,3.5,2,1.4,5.3,2.08,3.87,4.07,5.89,0.89,3.51,5.02,2.62,5.89,2.63,2.86,3.4,,
March,,,,,,,,2.2,5.15,6,5.1,6.5,2.08,,7.6,2.8,3.5,,4.7,2.7,2.1,4.5,1.7,2.5,4.3,1.1,7.2,3.2,5.9,1.4,1.2,4.9,5.8,3,2,2.6,1.48,2.32,3.41,3.69,5.16,3.43,2.53,3.7,3.79,3.98,5.25,3.9,,
April,,,,,,,,0.87,0.8,3.1,1.8,0.7,4.3,,2.1,1.6,1.7,,2.4,3.4,4.7,0.8,2.3,1.3,2.9,2.2,2.7,0.7,0.9,0.3,2.3,2.1,2.5,0.3,0.55,0.7,2.61,3.76,3.7,2.05,2.31,0.61,1.97,1.36,0.7,2.9,3.68,1.94,,
May,,,,,,,,0.8,3.5,0.3,2.7,3.4,3.63,,2.3,1.1,1.6,,2.5,1.6,2.2,1.4,1.6,2.7,2.9,3.2,1.7,3.4,2.2,1.4,2,2.5,2.3,2,3.1,2.15,2.43,0.83,2.44,1.13,0.99,3.62,3.02,2.67,3.95,1.24,3.46,,,
June,,,,,,,,1.5,3.9,2,2.8,1.5,5.2,,6.7,1.6,2.7,,3.6,2.5,2.5,1.4,4.1,2,2.9,1.1,1.8,3.5,0.8,1.8,2.8,2.4,2.6,0.8,2,2.7,2.79,2.13,1.77,0.94,3.68,1.8,2.96,1.65,1.9,1.92,3.98,,,
July,,,,,,,,4.61,6.1,3.85,2.1,3.4,5,,2.3,2.1,2.39,,1.1,4.1,3.15,5.9,3.5,3.5,3.3,2.5,3.4,5.8,5.3,2.5,5.9,3.9,2.7,3.4,2.8,2.5,2.74,3.73,1.8,0.86,4.3,4.68,4.07,4.56,5.29,3.32,3.15,,,
August,,,,,,,,1.65,2,2.5,3.2,7.5,2.4,,3.1,3.4,3.7,,6.85,2.6,2.2,3.8,2,4.8,4.3,5.1,2.7,3.9,3,2.9,0.8,5.3,3.6,3.7,2.5,1.6,3.06,4.43,2.32,4.34,6.14,5.63,5.82,4.37,5.21,4.68,7.4,,,
September,,,,,,,,4.79,5.5,5.65,4.1,4.4,3.9,,6.5,3.2,2.75,,1.8,4.99,4.9,2.7,5.6,3.2,4.8,2.3,3.5,2.6,,4.3,4.8,2.1,5.1,2.3,2.2,4,2.63,4.99,2.25,3.55,2.47,4.73,5.84,8.14,1.51,2.39,6.4,,,
October,,,,,,,1.9,3.85,5,11.8,6.9,2.6,,,4.9,3.9,3.4,,6.3,4.3,4.39,7.3,7.9,6.6,6,2.2,4.2,5.7,,3.5,6.4,3.3,1.8,5.2,5.7,5.15,2.41,5.63,7.87,3.23,8.18,4.63,5.83,8.64,2.44,10.03,6.11,,,
November,,,,,,,4.41,3.9,2.9,2.9,1.4,10.7,,,,2.2,6.7,,2.4,9.3,7.4,2.7,3.5,2.1,6,5.6,3.2,6.3,,2.5,6.5,4.3,5.3,5.7,5.8,2.3,5.92,2.7,4.62,4.05,5.39,3.24,4.45,9.51,4.15,3.02,3.92,,,
December,,,,,,,10.15,6.8,3.2,6.3,1.9,3.8,,,,4.1,7.4,,4.3,7,5.1,3.8,2.9,6.1,2.8,3.7,2.8,5.8,,5.3,6.9,6.2,4.3,5.4,4.4,6,7,5.52,3.05,3.94,1.73,5.77,4.18,7.12,5.85,3.17,3.6,,,
Total,,,,,,,,38.95,46.95,55.1,38.3,50.85,,,,34.6,47.24,,51.2,52.19,43.04,40.5,42.2,40.9,46.5,35.6,39.9,49.2,,31.1,46,42.3,42.7,36.4,37.25,37.9,40.28,43.93,40.12,38.91,48,46.41,49.39,56.88,45.15,42.14,56.74,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878 September and Total Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
