DRAYCOTT-PUMPING-STATION,,,,,,,,,,
Grid ref,SK449327,Long,-1.3341097,Lat,52.889886,Elevation,118,ft.,,
Station no,2655/6/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,4.91
February,,,,,,,,,,2.04
March,,,,,,,,,,1.54
April,,,,,,,,,,1.32
May,,,,,,,,,,1.54
June,,,,,,,,,,2.61
July,,,,,,,,,,3.97
August,,,,,,,,,,4.43
September,,,,,,,,,,4.24
October,,,,,,,,,,5.19
November,,,,,,,,,,2.82
December,,,,,,,,,,3.14
Total,,,,,,,,,,37.75
,,,,,,,,,,
NGR is from 1950s record and is a sewage works. Altitudes match.,,,,,,,,,,
"MIDAS src_id 3407, ends 1983 but places the gauge 200m N on the edge of the sewage works, did the gauge move?",,,,,,,,,,
