WEST HARTLEPOOL (THE CLOCK),,,,,,,,,,,,
Grid ref,NZ510327,Long,-1.210418,Lat,54.686774,,,,,,,
Station no,3524/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.44,1.72,0.74,3.01,1.84,3.45,1.31,1.79,3.16,4.34,,
February,1.65,0.57,1.87,1.35,1.96,1.68,1.90,3.34,0.53,1.92,,
March,3.35,1.31,0.13,1.27,1.13,0.76,1.01,3.14,0.51,1.40,,
April,1.07,1.61,1.85,0.21,0.78,0.98,0.34,1.43,1.51,0.39,,
May,4.60,1.22,1.65,1.94,1.31,0.37,1.37,2.76,0.23,1.08,,
June,1.33,1.11,1.84,1.99,2.40,2.85,2.12,2.70,1.89,0.29,,
July,1.51,0.98,2.07,1.50,1.20,2.11,3.10,1.98,2.73,4.17,,
August,4.64,1.38,2.59,4.34,0.95,6.52,2.80,1.91,0.21,2.08,,
September,1.14,4.61,1.03,1.74,1.13,1.93,2.88,1.72,0.90,1.80,,
October,1.48,2.09,1.16,3.55,1.27,1.02,1.79,0.91,1.09,6.04,,
November,3.99,3.39,1.34,3.13,1.84,1.28,1.32,0.81,3.50,2.83,,
December,3.22,2.15,0.90,2.19,2.29,1.62,0.69,2.33,3.15,2.63,,
Total,29.42,22.14,17.17,26.22,18.10,24.57,20.63,24.82,19.41,28.97,,
Calc annual,29.42,22.14,17.17,26.22,18.10,24.57,20.63,24.82,19.41,28.97,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
