AVIEMORE (KINRARA),,,,,,,,,,
Grid ref,NH877072,Long,-3.857408,Lat,57.141919,Elevation,800,ft,,
Station no,5693/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.68,2.93,1.92,3.09,4.24,2.46,2.82,2.05
February,,,2.33,1.7,4.6,2.37,2.83,2.29,0.93,2.35
March,,,1.21,1.67,1.15,1.81,2.94,,1.31,0.46
April,,,2.39,1.03,0.71,1.75,1.16,,2.15,2.18
May,,1.77,1.8,4.26,3.1,1.44,1.19,,1.86,0.85
June,,2.95,4.46,2.34,0.91,2.94,2.41,1.2,2.64,1.83
July,,1.6,4.13,2.94,0.53,4.3,4.15,5.63,1.93,2.27
August,,3.63,2.37,3.53,1.56,6.4,4.68,5.39,1.27,6.18
September,,3.29,3.12,3.19,2.29,4.9,2.17,1.86,0.63,2.56
October,,3.63,1.28,5.67,4.47,3.26,2.43,2.8,4.78,2.6
November,,3.14,3.64,3.39,0.88,2.08,3.11,1.08,3.54,1.9
December,,3.85,4.51,6.97,5.5,4.62,3.29,3.27,3.94,2.69
Total,,,32.92,39.62,27.62,38.96,34.6,,27.8,27.92
,,,,,,,,,,
Station no,5693/1,,,,,,,,,
Midas,14782,,,,,,,,,
Hyd Stn,816954,,,,,,,,,
