TOWNLEY HALL NR BURNLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD854309,Long,-2.2228,Lat,53.7745,Elevation,465,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1670,1671,1672,1673,1674,1675,1676,1677,1678,1679,1680,1681,1682,1683,1684,1685,1686,1687,1688,1689,1690,1691,1692,1693,1694,1695,1696,1697,1698,1699,1700,1701,1702,1703,1704,1705,1706,1707,1708,1709
January,,,,,,,,4.74,3.73,0.43,,,9.91,2.39,0.32,1.1,4.74,,,3.35,7.1,1.98,0.54,2.19,,,,1.03,1.3,3.6,4.19,4.5,4.24,3.05,6.28,,,,,
February,,,,,,,,2.71,3.73,1.62,,,1.36,2.46,4.85,0.42,0.21,,,3.95,1.72,1.13,1.69,0.78,,,,1.44,1.18,6.57,3.84,3.37,4.28,3.19,1.19,,,,,
March,,,,,,,,2.46,2.51,2.03,,,2.38,3.07,0.87,1.86,5.75,,,8.79,1.46,4.78,3.43,2.99,,,,0.99,4.05,3.6,1.52,1.43,0.5,4.01,4.14,,,,,
April,,,,,,,,3.27,1.71,0.92,,,3.1,4.04,3.72,3.82,3.07,,,4.71,0.78,3.86,5,5.42,,,,0.83,4.22,2.1,3.75,1.23,1.07,3.54,,,,,,
May,,,,,,,,3.15,5.83,1.06,,,3.17,3.55,0.97,2.02,4.39,,,1.83,2.45,3.01,3.32,0.93,,,,2.39,1.8,0.8,3.6,3.95,1.77,3.55,,,,,,
June,,,,,,,,5.19,2.58,2.99,,,5.19,4.7,1.93,4.12,4.75,,,3.03,1.8,4.14,4.18,1.82,,,,1.79,1.3,2.08,2.64,2.28,4.62,4.84,,,,,,
July,,,,,,,,3.53,3.41,3.52,,,4.84,4.14,3.15,4.99,1.89,,,1.21,2.19,2.86,4.5,1.13,,,,2.71,2.08,3.32,3.07,3.53,5.09,0.73,,,,,,
August,,,,,,,,4.87,1.46,8.39,,,3.87,5.85,3.4,4,8.74,,,2.23,4.04,1.94,2,6.71,,,,8.09,4.32,3.97,2.42,4.76,4.04,2.86,,,,,,
September,,,,,,,,2.24,5.29,5.57,,,2.94,1.52,2,1.64,5.74,,,4.44,4.05,2.16,6.08,6.44,,,,9.43,4.38,3.33,4.73,4.28,4.62,6.51,,,,,,
October,,,,,,,,3.34,6.47,6.19,,,4.29,3.31,4.27,3.27,2.94,,,7.43,7.68,1.66,2.74,5.17,,,,5.55,4.47,3.8,5.31,4.94,5.74,1.42,,,,,,
November,,,,,,,,4.34,5.58,1.28,,,5.28,1.93,5.82,5.25,7.13,,,4.17,7.19,2.31,1.49,6.3,,,,2.15,4.97,2.95,2.75,5.15,7.46,5.74,,,,,,
December,,,,,,,,4.02,0.57,4.41,,,4.59,0.37,3.01,5.5,1.33,,,3.7,2.64,1.7,8.96,2.62,,,,4.92,4.1,3.37,5.4,2.05,8.37,2.06,,,,,,
Total,,,,,,,,43.86,42.87,38.41,,,50.92,37.33,34.31,37.99,50.68,,,48.84,43.1,31.53,43.93,42.5,,,,41.32,38.17,39.49,43.22,41.47,51.8,41.5,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1677-1886_A_pt1-page-200.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677 Aug = 4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1677-1886_A_pt1-page-201.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1682 July, Sept;  1683 June; 1684 Nov; 1685 Apr; 1686 July,Aug all of 1689",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1677-1886_A_pt1-page-203.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690 Oct 7.68 mistransciption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861 July 2.86; 1692 Mar=3.43 mis transcription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
