"ARBROATH DISHLAND HILL",,,,,,,,,,,,
Grid ref,NO637406,Long,-2.592129,Lat,56.555964,,,,,,,
Station no,RR1829,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.52,1.21,0.65,3.71,1.84,0.37,1.67,0.89,1.44,1.28,,
February,2.87,1.38,1.02,2.73,3.00,0.76,0.69,1.16,0.55,0.81,,
March,1.03,1.30,1.06,1.88,1.04,2.30,1.12,1.32,2.96,3.42,,
April,1.25,2.04,1.39,0.67,1.16,1.71,1.12,1.93,0.68,2.65,,
May,0.99,1.59,2.35,1.37,1.96,1.30,5.23,5.36,1.84,2.59,,
June,1.57,1.56,1.89,1.76,0.65,0.56,1.45,3.66,1.13,0.63,,
July,3.87,0.66,2.57,4.56,0.83,1.57,1.47,2.17,1.84,2.87,,
August,2.98,3.12,1.94,3.80,4.51,3.03,4.64,2.83,2.14,1.76,,
September,1.95,0.91,1.26,1.92,1.93,1.14,1.09,0.98,3.99,1.43,,
October,2.59,1.79,1.35,4.20,0.74,2.35,4.00,4.64,1.23,2.87,,
November,3.03,1.83,1.45,1.09,0.84,3.80,2.92,1.83,1.53,0.50,,
December,3.02,2.40,1.88,1.84,1.45,0.89,2.81,2.85,2.28,2.73,,
Total,28.67,19.79,18.81,29.53,19.95,19.78,28.21,29.62,21.61,23.54,,
Calc annual,28.67,19.79,18.81,29.53,19.95,19.78,28.21,29.62,21.61,23.54,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,,
