BURNHAM FAIR VIEW & BURNHAM COTTAGE,,,,,,,,,,,,
Grid ref,SU923814,Long,-0.670980,Lat,51.523983,,,,,,,
Station no,RR6277,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.95,0.88,0.74,2.42,2.48,0.77,3.84,0.70,2.00,0.71,,
February,4.03,1.52,1.05,0.82,2.58,0.53,1.90,1.38,1.13,0.31,,
March,0.72,1.51,1.54,2.71,1.32,3.35,1.35,1.14,2.93,2.74,,
April,0.62,2.15,0.77,2.11,1.15,1.76,0.43,3.18,3.50,2.33,,
May,1.42,0.52,2.67,3.04,2.59,0.81,2.32,1.72,1.35,1.30,,
June,2.21,1.24,3.38,6.27,0.80,3.50,3.18,2.32,1.21,4.19,,
July,0.50,1.70,1.17,4.42,3.53,0.34,0.30,2.08,2.70,3.37,,
August,3.15,2.22,2.84,2.68,2.12,2.18,0.95,1.79,2.65,1.94,,
September,0.67,1.27,0.45,2.32,1.41,1.50,1.29,0.73,1.75,2.63,,
October,2.13,2.30,1.50,6.40,1.78,1.31,4.70,4.35,2.22,4.83,,
November,2.09,0.38,2.26,1.72,1.79,2.64,3.05,2.32,0.93,0.60,,
December,2.45,3.68,1.25,2.12,1.84,1.03,2.92,3.13,2.39,2.36,,
Total,22.94,19.37,19.62,37.03,23.39,19.72,26.23,24.84,24.76,27.31,,
Calc annual,22.94,19.37,19.62,37.03,23.39,19.72,26.23,24.84,24.76,27.31,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
