BURNHAM-FAIR-VIEW (BURNHAM COTTAGE),,,,,,,,,,,,,,,,,,,,
Grid ref,SU932827,Long,-0.65766734,Lat,51.535521,Elevation,162,ft,,,,,,,,,,,,
Station no,RR6277,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,2.42,2.48,0.77,3.84,0.7,2,0.71,1.96,1.1,3.7,3.55,0.59,3.49,1.27,1.37,,
February,,,,0.82,2.58,0.53,1.9,1.38,1.13,0.31,2.78,1.58,1.7,0.81,2.67,3.1,3.62,0.85,,
March,,,,2.71,1.32,3.35,1.35,1.14,2.93,2.74,1.02,1.6,3.56,2.02,3.53,1.14,4.09,1.93,,
April,,,,2.11,1.15,1.76,0.43,3.18,3.5,2.33,1.5,1.66,0.08,3.18,0.84,1.11,0.95,1.65,,
May,,,,3.04,2.59,0.81,2.32,1.72,1.35,1.3,1.83,1.9,1.72,3.2,1.55,3.13,1.32,1.9,,
June,,,,6.27,0.8,3.5,3.18,2.32,1.21,4.19,3.92,2.17,3.55,0.88,1.5,1.08,2.75,2.43,,
July,,,1.17,4.42,3.53,0.34,0.3,2.08,2.7,3.37,2.17,0.26,1.44,1.79,3.24,4.64,1.03,4.54,,
August,,,2.84,2.68,2.12,2.18,0.95,1.79,2.65,1.94,2.01,0.9,6.54,1.25,1.71,1.83,4.11,3.63,,
September,,,0.45,2.32,1.41,1.5,1.29,0.73,1.75,2.63,0.41,1.31,2.05,1.9,1.06,2.26,1.28,1.42,,
October,,,1.5,6.4,1.78,1.31,4.7,4.35,2.22,4.83,2.78,2.34,2.37,4.85,1.91,2.82,3.74,4.26,,
November,,,2.26,1.72,1.79,2.64,3.05,2.32,0.93,0.6,3.22,3.29,2,2.29,2.21,2.11,3.91,0.94,,
December,,,1.25,2.12,1.84,1.03,2.92,3.13,2.39,2.36,4.22,5.44,3.19,1,6.92,5.02,3.01,0.37,,
Total,,,,37.03,23.39,19.72,26.23,24.84,24.76,27.31,27.82,23.55,31.9,26.72,27.73,31.73,31.08,25.29,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1902 Jul Gauge moved,,,,,,,,,,,,,,,,,,,,
1916 Total IDR,,,,,,,,,,,,,,,,,,,,
