INVERTROSSACHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 56146 05144,Long,-4.32132,Lat,56.217051,Elevation,395,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,10.18,9.31,7.86,6.63,7.24,6.64,10.59,6.94,16.25,2.47,9.28,5.29,9,7.15,9.78,2.76,6.77,7.54,10.01,5.44,2.46,1.78,7.1,8.49,7.49,4.34,8.95,11.52,9.24,7.46,6.99
February,11.33,1.67,5.56,7.16,1.31,6.82,8.24,4.46,6.22,3.36,0.96,5.15,0.15,5.08,0.95,6.79,3.92,5.91,5.47,7.83,2.94,5.39,3.25,6.72,2.35,11.85,4.9,1.16,8.34,6.53,7.39
March,6.08,9.94,3.81,4.15,1.14,2.41,4.35,4.99,7.64,1.19,4.13,1.86,3.41,3.96,3.53,2.97,4.18,2.68,4.69,4.17,4.56,2.79,4.42,3.57,0.98,5.87,4.69,3.96,5.49,2.36,3.6
April,2.29,1.93,3.65,5.28,4.11,6.43,2.76,3.58,4.09,1.05,1.52,3,6.05,2.79,4.92,4.27,2.16,3.08,0.67,2.93,3.63,1.82,4.54,4.53,4.21,3.51,1.34,9.71,4.17,7.48,4.21
May,6.87,4.8,5.32,2.66,5.83,9.7,4.51,3.19,1.81,4.03,3.4,7.63,4.09,3.03,3.86,0.43,1.49,3.46,5.81,1.04,1.39,2.79,3.96,4.62,4.71,5.48,2.35,5.61,2.57,3.09,2.98
June,2.41,0.45,2.53,1.77,3.08,0.82,3.31,6.06,6.41,3.62,4.04,6.25,1.89,1.77,2.9,6.9,2.57,4.22,7.56,3.22,0.61,0.76,2.55,6.09,7.51,6.68,5.78,5.77,5.86,1.44,2.13
July,4.68,5.49,4.65,4.24,5.87,2.44,3.76,5.17,4.96,4.72,4.81,6.76,4.56,4.04,3.27,1.94,5.72,5.95,5.64,7.85,3.59,4.52,3.15,3.25,4.68,3.57,5.16,5.2,5.89,2.58,8.72
August,7.12,8.3,3.48,8.6,5.5,5.3,5.19,6.86,7.71,7.95,7.32,2.13,3.41,4.28,5.67,3.9,3.94,6.49,4.03,1.92,2.3,5.14,7.9,10.42,4.89,2.31,5.87,0.03,10.06,6.08,8.65
September,3.63,3.43,3.34,8.27,7.09,4.37,4.9,7.16,5.26,2.25,4.62,1.98,3.8,1.47,9.02,8.11,5.05,5.26,6.03,3.43,3.28,2.53,9.02,5.74,6.05,8.09,9.69,7.18,9.6,3.42,12.18
October,3.45,6.28,3.4,9.25,5.15,5.29,8.59,8.16,10.79,8.7,8.3,5.29,7.97,3.88,10.33,12.08,6.38,4.15,11.36,2.47,7.01,5.73,7.66,15.1,6.98,8.57,0.93,3.6,9.85,10.42,6.99
November,7.73,5.01,6.06,4.34,4.89,1.1,9.24,7.23,9.1,9.65,6.34,11.57,5.52,3.29,1.39,4.74,3.71,1.33,9.67,8.56,6.9,4.88,1.69,4.31,9.31,0.5,9.7,10.91,4.99,5.92,4.22
December,5.66,8.57,5.9,4.45,9.7,4.5,2.35,1.74,8.61,12.23,6.78,5.97,10.38,1.69,10.45,5.01,8.97,4.06,5.34,3.15,5.74,4.4,10.33,3.86,7.27,6.3,8.14,2.38,8.38,11.48,2.63
Total,71.43,65.18,55.56,66.8,60.91,55.82,67.79,65.54,88.85,61.22,61.5,62.88,60.23,42.43,66.07,59.9,54.86,54.13,76.28,52.01,44.41,42.53,65.57,76.7,66.43,67.07,67.5,67.03,84.44,68.26,70.69
