"MOURNE MOUNTAINS (LOUGH SHANNAGH)",,,,,,,,,,,,
Grid ref,IJ298259,Long,-6.013136,Lat,54.165809,,,,,,,
Station no,6197/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.30,6.60,3.10,3.40,7.10,5.90,9.30,6.70,4.50,7.60,,
February,5.40,1.30,3.05,9.60,8.60,1.90,5.10,6.50,2.00,5.95,,
March,5.90,4.80,1.10,8.70,3.40,3.10,9.40,2.30,6.30,7.00,,
April,3.50,4.10,3.50,1.40,4.10,2.30,2.30,2.80,4.15,4.75,,
May,5.20,1.90,4.80,9.80,5.10,2.10,4.80,7.40,2.40,3.15,,
June,3.30,4.70,3.60,5.10,7.70,5.90,1.90,9.90,2.70,4.45,,
July,5.40,3.10,8.90,6.10,2.80,6.10,10.60,6.00,4.00,11.30,,
August,10.40,7.30,6.30,5.40,2.30,11.10,8.40,10.70,1.60,5.85,,
September,6.70,4.50,6.10,8.10,3.50,6.03,9.70,10.30,3.50,5.60,,
October,1.40,11.40,5.50,11.80,3.40,4.70,6.90,4.30,7.30,11.20,,
November,15.20,6.60,7.10,11.10,4.40,2.90,4.93,3.90,7.80,8.15,,
December,8.50,5.80,6.20,6.70,7.50,8.40,9.70,6.45,12.40,5.80,,
Total,78.20,62.10,59.25,87.20,59.90,60.43,83.03,77.25,58.65,80.80,,
Calc annual,78.20,62.10,59.25,87.20,59.90,60.43,83.03,77.25,58.65,80.80,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
