MOURNE MOUNTAINS (LOUGH SHANNAGH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ298259,Long,-6.013136,Lat,54.165809,Elevation,1342,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,6197/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,10.7,9.6,13.5,10.2,6.8,5.5,7,7.1,13.4,5.5,3.5,7.3,6.6,3.1,3.4,7.1,5.9,9.3,6.7,4.5,7.6
February,,,,,,,,,,6.9,6.2,2.7,3.1,2,6.6,3.8,3,4.6,3.3,8.1,5.4,1.3,3.05,9.6,8.6,1.9,5.1,6.5,2,5.95
March,,,,,,,,,,8.3,3.6,7.3,2.1,0.9,3.7,4.7,11,4.8,4.3,4.9,5.9,4.8,1.1,8.7,3.4,3.1,9.4,2.3,6.3,7
April,,,,,,,,,5.4,9.3,5.7,4.6,4.2,5.3,3.4,2.5,6.8,3.8,5.2,7.3,3.5,4.1,3.5,1.4,4.1,2.3,2.3,2.8,4.15,4.75
May,,,,,,,,,1.5,2.5,4.8,6.9,7.8,2.4,5.1,2.2,5.4,4.7,3.55,2.4,5.2,1.9,4.8,9.8,5.1,2.1,4.8,7.4,2.4,3.15
June,,,,,,,,,3.5,2,0.6,0.7,6.2,5,6.5,7.5,5.6,5.6,1.6,3.1,3.3,4.7,3.6,5.1,7.7,5.9,1.9,9.9,2.7,4.45
July,,,,,,,,,8,6.2,6.2,5.5,3.3,6.4,7.9,5.2,5.2,5.7,4.1,8.6,5.4,3.1,8.9,6.1,2.8,6.1,10.6,6,4,11.3
August,,,,,,,,,3.6,1.6,7.2,9.4,9.1,5.6,3.4,7.2,0.9,7.2,6.7,10.3,10.4,7.3,6.3,5.4,2.3,11.1,8.4,10.7,1.6,5.85
September,,,,,,,,,6.2,3.6,4.1,11.8,5.9,9.6,5.9,15.2,5.7,7.4,4.3,10.3,6.7,4.5,6.1,8.1,3.5,6.03,9.7,10.3,3.5,5.6
October,,,,,,,,,7.3,10,7,5.6,6.5,8.5,5.8,3.5,4.4,6.8,12.1,7.1,1.4,11.4,5.5,11.8,3.4,4.7,6.9,4.3,7.3,11.2
November,,,,,,,,,8.4,11.3,8.7,1.1,4.65,10.6,2.6,10.1,7.9,4.6,5.1,4.7,15.2,6.6,7.1,11.1,4.4,2.9,4.93,3.9,7.8,8.15
December,,,,,,,,,5.8,7.6,4.4,8.3,4,6.7,10.4,10.1,8.9,9.2,7.6,4.2,8.5,5.8,6.2,6.7,7.5,8.4,9.7,6.45,12.4,5.8
Total,,,,,,,,,,80,68.1,77.4,67.05,69.8,66.8,79,71.9,77.8,63.35,74.5,78.2,62.1,59.25,87.2,59.9,60.43,83.03,77.25,58.65,80.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1939 Jan 10.5, Feb 4.5, Mar 5 and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation on record 1280' but too low for NGR; given area otherwise forested left NGR and altered elevation here,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16480,LOUGH SHANNAGH ,01/01/1939,Current ,,,,,,,,,,,,,,,,,,,,,,,,,,,
