NORTHUMBERLAND-HEATH-SCHOOL,,,,,,,,,,
Grid ref,TQ498772,Long,0.15553423,Lat,51.473936,Elevation,152,ft,,
Station no,413/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.44,0.58,1.06,,3.18,,,0.91,
February,,1.09,1.96,,,0.22,2.31,1.89,0.05,
March,,2.56,0.42,1.37,,1.11,0.71,0.96,2.07,
April,,0.78,2.09,0.41,,2.04,0.32,1.58,1.67,
May,2.19,1.71,1.53,1.5,3.59,0.74,1,1.45,0.81,
June,0.84,1.76,1.69,2.84,1.88,2.01,0.97,4.56,0.28,
July,1.82,0.83,,,0.03,,3.84,,,
August,,3.08,,,,,1.76,,,
September,,3.22,,,3.57,,2.02,,,
October,0.66,2.42,,1.89,3.23,0.79,1.5,2.22,,
November,3.71,2.68,,,0.56,0.52,2.24,,,
December,1.7,1.71,,,1.06,,2.31,,,
Total,,23.28,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1951 Aug Sep estimated,,,,,,,,,,
1953 Jul-Dec estimated,,,,,,,,,,
1954 Feb Jul Aug Sep Nov Dec estimated,,,,,,,,,,
1956 Jul Aug Sep Dec estimated,,,,,,,,,,
1957 Jan estimated,,,,,,,,,,
1958 Jan Jul-Sep Nov Dec estimated,,,,,,,,,,
