NORTHUMBERLAND HEATH (COUNTY SEC. SCHOOL),,,,,,,,,,,,
Grid ref,TQ498772,Long,0.155534,Lat,51.473936,,,,,,,
Station no,413/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,1.44,0.58,1.06,,3.18,0.84,1.17,0.91,,,
February,,1.09,1.96,1.64,,0.22,2.31,1.89,0.05,,,
March,,2.56,0.42,1.37,,1.11,0.71,0.96,2.07,,,
April,,0.78,2.09,0.41,,2.04,0.32,1.58,1.67,,,
May,2.19,1.71,1.53,1.50,3.59,0.74,1.00,1.45,0.81,,,
June,0.84,1.76,1.69,2.84,1.88,2.01,0.97,4.56,0.28,,,
July,1.82,0.83,3.18,2.46,0.03,3.90,3.84,2.07,,,,
August,2.26,3.08,1.31,3.00,,3.90,1.76,4.00,,,,
September,2.26,3.22,2.06,1.74,3.57,2.16,2.02,4.15,,,,
October,0.66,2.42,3.61,1.89,3.23,0.79,1.50,2.22,,,,
November,3.71,2.68,0.58,3.55,0.56,0.52,2.24,1.90,,,,
December,1.70,1.71,0.56,1.26,1.06,2.21,2.31,2.50,,,,
Total,,23.28,19.57,22.72,,22.78,19.82,28.45,,,,
Calc annual,15.44,23.28,19.57,22.72,13.92,22.78,19.82,28.45,5.79,0.00,,
Difference,NaN,0.00,0.00,-0.00,NaN,0.00,0.00,0.00,NaN,NaN,,
