"BURTON AGNES (PUMPING STATION)",,,,,,,,,,,,
Grid ref,TA110634,Long,-0.305870,Lat,54.054612,,,,,,,
Station no,3403/9/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.36,2.13,1.23,1.77,1.39,4.93,1.35,2.74,2.76,6.13,,
February,2.33,0.86,1.96,1.94,2.24,2.03,2.69,4.10,0.31,1.85,,
March,2.86,2.28,0.36,2.05,2.56,0.97,1.48,1.97,1.21,1.53,,
April,1.39,1.24,2.78,0.44,0.87,0.96,0.76,1.06,2.38,0.85,,
May,3.51,1.51,1.81,1.77,3.50,0.66,1.18,1.99,0.69,1.20,,
June,1.19,1.92,2.12,1.51,1.40,3.27,1.69,3.00,1.47,0.70,,
July,1.45,1.97,1.88,1.52,1.49,3.26,3.65,3.34,1.32,3.35,,
August,6.09,1.77,2.15,5.89,0.46,5.85,4.16,2.09,0.27,4.53,,
September,1.44,4.39,1.99,2.37,1.17,1.30,2.98,1.88,0.24,2.48,,
October,1.54,2.92,1.60,3.65,2.12,1.52,2.26,1.82,1.84,8.02,,
November,4.16,4.22,1.92,4.67,1.35,1.81,2.62,0.75,3.34,4.86,,
December,1.49,2.44,1.42,2.56,3.64,2.50,2.09,3.24,4.57,3.73,,
Total,29.81,27.65,21.22,30.14,22.19,29.06,26.91,27.98,20.40,39.23,,
Calc annual,29.81,27.65,21.22,30.14,22.19,29.06,26.91,27.98,20.40,39.23,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
