MAZE GREEN P.S.,,,,,,,,,,,,
Grid ref,TL474214,Long,0.139640,Lat,51.871702,,,,,,,
Station no,963/7/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.17,2.15,,
February,,,,,,,,,0.07,1.84,,
March,,,,,,,,,1.92,0.91,,
April,,,,,,,,,2.53,0.54,,
May,,,,,,,,,0.74,1.36,,
June,,,,,,,,,0.89,1.21,,
July,,,,,,,,,2.53,2.84,,
August,,,,,,,,,0.68,3.04,,
September,,,,,,,,,0.05,6.11,,
October,,,,,,,,,1.99,5.98,,
November,,,,,,,,,2.42,3.28,,
December,,,,,,,,2.60,4.29,2.79,,
Total,,,,,,,,,20.28,32.05,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,20.28,32.05,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
