BUSHEY-MERRY-HILL-ROAD,,,,,,,,,,
Grid ref,TQ140943,Long,-0.35413772,Lat,51.635965,Elevation,450,ft,,
Station no,899/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.39,1.78,1,0.85,2.9,4.09,1.6,,,
February,4.3,0.69,1.79,2.35,1.79,0.27,3.33,,,
March,3.46,2.9,0.6,2.47,1.18,0.92,1.58,,,
April,2.69,1.86,2.59,0.33,0.5,0.96,0.3,,,
May,2.22,2.13,1.59,1.99,4.34,0.34,1.09,,,
June,1.75,1.17,2.47,3.53,1.9,2.45,1.48,,,
July,1.11,0.7,3.4,2.91,0.25,4.12,3.34,,,
August,3.54,5.18,2.12,2.86,1.44,5.35,2.03,,,
September,2.95,3.68,2.22,2.02,1.48,2.95,2.72,,,
October,0.97,3.1,2.59,2.44,3.99,2.74,2.04,,,
November,5.08,3.47,1.33,4.25,2.33,0.53,2.08,,,
December,1.55,2.68,0.65,1.62,2.04,3.76,2.44,,,
Total,33.01,29.34,22.35,27.62,24.14,28.48,24.03,,,
