MANCHESTER (OLD TRAFFORD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ816961,Long,-2.278598,Lat,53.461321,Elevation,107,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,4.08,4.23,,2.38,2.11,1.74,3.36,2.82,3.9,4.95,2.81,0.83,4.74,5.17,4.14,2.59,4.38,2.6,7.6,2.58,1.62,2.69,3.68,1.19,3.44,,4.55,2.26,2.94,2.63,4.23
February,,,,,,,,,,,0.26,3.81,,2.87,0.04,2.85,1.67,4.53,0.96,3.84,1.78,3.53,1.97,2.3,1.31,3.42,5.01,0.85,1.84,1.57,3.44,1.85,1.01,1.44,3.42,,0.8,2.18,5,0.25,1.8
March,,,,,,,,,,,2.8,0.26,,2.8,2.36,0.91,1.3,1.29,0.98,1.42,2.88,2.68,3.2,0.73,0.32,0.9,0.61,5.7,1.02,2.27,1.25,4.12,2.09,1.78,2.45,,1.04,2.91,2.03,1.15,0.67
April,,,,,,,,,,,1.52,3.52,,1.16,1.83,2.31,0.83,2.29,0.28,2.19,1.7,1.11,1.47,1.22,2.57,2.03,0.84,2.76,1.56,2.61,2.65,1.78,3.65,2.38,0.7,,3.57,0.51,0.85,2.74,1.44
May,,,,,,,,,,,1.72,2.88,,1.63,1.94,0.73,0.76,1.96,3.54,1.59,0.96,1.47,3.18,2.23,3.25,4.08,0.93,2.3,1.37,3.82,1.16,2.08,1.53,1.75,2.6,,1.04,1.52,2.78,0.8,1.95
June,,,,,,,,,,,1.74,5.13,,3.05,2.16,2.87,2.84,1.12,3.2,2.55,0.95,0.32,0.56,3.1,2.56,3.77,2.66,1.81,4.33,0.79,2.71,0.94,2.66,2.33,3.61,,2.45,1.74,4.22,2.18,1.84
July,,,,,,,,,,,5.81,4.35,,2.36,2.15,1.19,2.54,2.1,4.5,6,3.83,2.67,3.77,2.3,3.71,1.31,3.93,2.57,2.32,1.54,2.97,2.58,2.34,3.51,6.26,,5.33,5.21,3.99,2.43,5.19
August,,,,,,,,,,,5.35,7.62,,1.44,2.85,1.56,2.1,2.4,2.36,1.54,1.45,4.81,4.76,5.13,3.58,2.4,4.52,0.38,4.38,2.52,4.16,3.8,1.85,3.74,4.7,,9,4.94,6.06,0.23,4.96
September,,,,,,,,,,,3.19,2.85,,1.21,2.91,5.03,4.15,0.85,1.84,0.88,3.37,0.64,1.67,5.86,4.2,2.29,4.99,2.33,2.41,0.65,4.99,2.57,3.12,2.68,4.31,,2.26,5.5,4.04,0.24,2.99
October,,,,,,,,,,,4.99,1.7,,4.26,4.5,4.45,2.64,1.72,6.2,1.47,3.77,4.34,4.82,3,3.78,5.68,1.02,0.62,2.48,2.93,2.29,1.07,3.24,1.72,6.04,,2.8,3.78,2.22,3.2,3.81
November,,,,,,,,,,,4.52,5.65,,1.47,1.43,4.14,3.34,1.89,3.83,5.35,6.13,2.31,0.82,2.21,6.47,0.41,5.12,3.69,1.84,4.72,4.79,6.57,2.41,3.08,5.78,,1.39,1.52,1.29,3.69,3.46
December,,,,,,,,,,,3.02,1.56,,0.49,4.64,4.05,2.82,2.27,4.12,3.2,3.11,1.37,3.45,1.82,2.33,2.34,3.46,2.57,3.14,4.4,3,4.62,2.72,1.25,5.32,,2.96,2.89,3.01,4.53,3.4
Total,,,,,,,,,,,39,43.56,,25.12,28.92,31.83,28.35,25.24,35.71,34.98,32.74,26.08,34.41,35.07,38.22,31.22,37.47,28.18,34.29,30.4,35.03,34.67,30.3,26.85,48.63,,37.19,34.96,38.43,24.07,35.74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TYRain_1910-1919_17_pt1-page-249.csv classed as mis-filed but record looks fine, 1930 only - records added manually",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOT USED: TYRain_1910-1919_17_pt1-page-250.csv also classed as mis-filed,looks ok and values duplicate of those on page 249",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
