MANCHESTER OLD TRAFFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ816961,Long,-2.278598,Lat,53.461321,Elevation,106,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,3.4,5.17,2.74,3,0.77,2.74,3.12,1.5,1.76,3.58,0.39,1.9,4.43,1.68,3.11,3.25,3.27,2.75,2.69,3.13,3.3,4.26,3.14,3.53,3.57,1.74,5.01,,
February,,1.43,3.96,0.89,2.87,1.45,2.8,1.93,0.33,2.46,0.87,2.52,0.96,0.94,4.03,2.36,2.98,2.93,2.11,4.44,0.85,2.73,3.02,0.67,1.59,0.74,3.98,4.29,,
March,0.89,3.24,0.46,1.96,1.46,2.02,0.2,2.11,1.94,3.45,3.47,4.14,3.67,0.8,2.01,1.67,2.17,1.45,4,1.27,2.38,1.56,2.77,1.79,3.37,0.82,3.7,2.43,,
April,2.7,,0.52,1.71,0.66,1,2.52,2.19,2.71,3.14,1.31,2.43,2.72,1.39,1.6,1.08,0.3,4.32,1.68,2.1,2.22,3.52,2.98,0.51,1,0.9,3.16,2.9,,
May,1.53,2,1.42,1.42,1.67,1.53,2.88,2.21,2.1,0.45,2.69,0.74,4.47,1.72,3.17,3.19,1.54,1.95,0.87,2.73,0.75,2.07,2.14,1.91,1.39,2.07,1.08,2.86,,
June,1.4,,4.71,4.95,1.73,3.21,3.37,2.21,3.18,2.29,6.04,2.41,3.07,4.63,2.95,0.96,3.98,1.59,0.37,1.12,1.79,2.66,6.9,2.97,1,3.56,3.15,2.35,,
July,1.73,3.37,2.83,3.65,2.85,4.24,3.05,4.55,2.32,1.32,1.66,3.65,4.53,1.63,1.69,3,4.31,4.28,0.45,1.13,0.81,3.55,7.66,4.65,1.77,4.6,3.57,,,
August,,,,,,,,4.73,3.33,5.99,5.17,2.23,2.35,5.03,2.37,3.84,5.12,1.41,2.5,2.63,1.65,1.6,2.78,4.2,4.34,5,3.07,,,
September,2.65,1.31,2.4,3.65,2.37,0.96,3.18,3.15,3.07,4.59,2.88,4.05,5,5.56,4.01,0.67,7.13,2.99,1.76,6.32,2.66,3.82,7.04,2.48,3.86,4.74,3.17,,,
October,2.88,3.92,2.69,,3.2,5.21,2.32,1.73,4.04,3.37,3.43,1.23,5.03,6.24,1.91,5,2.52,3.98,4.51,3.12,8.36,4.51,4.4,4.44,3.76,4.45,2.6,,,
November,4.04,1.86,4.48,,3.12,0.63,3.86,1.56,1.34,3.1,2.11,3.88,1.68,2.9,3.25,2.77,5.72,2.43,3.11,4.28,2.42,1.41,3.77,2.28,4.85,4.22,3.3,,,
December,2.18,1.38,4.89,0.86,5.75,1.06,3.59,1.52,3.57,2.58,2.93,2.07,3.22,3.06,1.97,0.74,4.15,3.98,8.12,3.62,2.53,2.5,2.97,0.78,3.64,0.82,4.44,,,
Total,,,,,,,,31.01,29.43,34.5,36.14,29.74,38.6,38.33,30.64,28.39,43.17,34.58,32.23,35.45,29.55,33.23,50.69,29.82,34.1,35.49,36.96,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1850s unknown observer, elevation or anything except broad location",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860s and 1870s observer G V Vernon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1871 George Venables Vernon lived with his family at Osborne Place, Stretford, Barton on Irwell in the general area of  Old Trafford district.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
He was 'muslin fine cotton spinner' employing 200 hands in 1871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannot find Osborne Place or adjacent terraces on the census.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR for Stretford UDC Offices on Talbot Road on 25"" OS 1880s map",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
