"HUNSTANWORTH (BELMOUNT)",,,,,,,,,,,,
Grid ref,NY972477,Long,-2.045105,Lat,54.824134,,,,,,,
Station no,3553/8/3/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,-999.00,0.62,3.67,3.61,4.01,3.39,2.93,3.36,5.73,,
February,,,2.03,2.64,3.28,4.33,3.29,4.71,0.50,4.13,,
March,,,0.25,2.26,2.27,1.73,1.70,2.93,1.20,2.75,,
April,,,3.55,0.77,0.44,1.29,0.45,1.92,2.56,1.39,,
May,,,2.94,5.51,2.81,0.93,1.39,3.90,0.73,1.87,,
June,,-999.00,4.83,1.90,2.84,3.13,0.92,4.65,2.15,0.49,,
July,,1.78,1.56,1.85,1.41,3.53,3.89,3.74,1.04,4.91,,
August,,2.90,4.17,8.53,1.24,9.95,5.25,4.45,0.80,3.77,,
September,,5.12,2.82,3.88,1.63,4.13,3.69,2.91,0.91,2.67,,
October,,4.98,2.18,5.52,2.36,2.15,2.70,2.30,2.27,11.16,,
November,,3.98,2.26,5.61,1.90,1.18,2.69,0.44,5.31,3.64,,
December,,3.48,1.50,4.37,4.78,4.47,3.31,5.32,6.43,3.14,,
Total,,,28.71,46.51,28.57,40.83,32.67,40.20,27.26,45.65,,
Calc annual,0.00,22.24,28.71,46.51,28.57,40.83,32.67,40.20,27.26,45.65,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
