TILLICOULTRY TILLICOULTRY HOUSE NO 1,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 923 975,Long,-3.73586,Lat,56.158329,Elevation,200,ft,,,,,,,,,,,,
Station no,5460,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,5.49,3.2,6.25,2.42,4.02,,6.36,,,,,,,,,
February,,,,,4.04,4.23,1.37,2.26,0.76,,0.98,,,,,,,,,
March,,,,,6.96,2.86,4.04,1.99,4.55,,2.7,,,,,,,,,
April,,,,2.02,3.52,2.19,1.8,2.55,2.28,,1.63,,,,,,,,,
May,,,,1,4.47,3.85,5.62,1.5,3.61,,1.72,,,,,,,,,
June,,,,3.48,0.62,1.7,1.54,0.89,2.92,,4.21,,,,,,,,,
July,,,,7.27,5.28,1.74,3.79,2.56,5.77,,3.61,,,,,,,,,
August,,,,4.93,1.74,2.84,1.89,3.29,3.49,,3.33,,,,,,,,,
September,,,,2.45,2.67,6.59,5.77,4.26,0.8,,5.27,,,,,,,,,
October,,,,4.9,2.47,2.89,5.21,1.48,2.28,,2.89,,,,,,,,,
November,,,,4.6,3.9,1.84,3.17,3.89,8.85,,7.51,,,,,,,,,
December,,,,4.65,6.94,3.12,4.64,2.56,2.4,,2.31,,,,,,,,,
Total,,,,,48.1,37.05,45.09,29.65,41.73,,42.52,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"1884, 85 86,  is in British Rainfall",,,,,,,,,,,,,,,,,,,,
Believed to be No1 gauge,,,,,,,,,,,,,,,,,,,,
