DUDLEY (BLUE COAT SEN. SCH.),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2421/5,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,,2.75,0.90,3.00,3.14,,,,,
February,,,,0.29,1.90,2.10,3.43,,,,,
March,,,,2.16,0.63,1.60,2.54,,,,,
April,,,,2.10,2.94,1.86,2.94,,,,,
May,,,,1.00,1.21,0.76,2.11,,,,,
June,,,,0.95,2.72,2.49,0.62,,,,,
July,,,,1.07,0.47,6.88,2.15,,,,,
August,,,,2.13,1.73,0.63,1.06,,,,,
September,,,,2.65,3.51,3.34,2.23,,,,,
October,,,,1.43,3.23,1.28,2.15,,,,,
November,,,,1.46,5.99,2.38,2.69,,,,,
December,,,,4.02,2.41,1.96,0.64,,,,,
Total,,,,22.01,27.64,28.28,25.70,,,,,
Calc annual,0.00,0.00,0.00,22.01,27.64,28.28,25.70,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
