DUDLEY (BLUE COAT SEN. SCH.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO953904,Long,-2.070683,Lat,52.511469,Elevation,660,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2421/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.75,0.9,3,3.14,2.69,4.71,2.71,3.95,2.7,4.43,2.35,1.66,2.33,1.94,4.04,2.17,1.02,2.31,2.33,1.06,1.57,2.33,,,,,
February,,,,0.29,1.9,2.1,3.43,0.52,1.18,1.84,2.25,0.99,1.58,1.61,2.02,2.35,2,1.41,0.56,4.07,2.68,0.52,1.31,2.43,2.28,,,,,
March,,,,2.16,0.63,1.6,2.54,0.45,1.51,1.68,2.04,1.43,0.7,0.44,0.98,1.06,6.02,0.92,1.62,0.86,4.65,1.78,1.43,2.61,3.25,,,,,
April,,,,2.1,2.94,1.86,2.94,0.11,1.74,2.99,1.68,1.59,1.21,1.85,1.28,2.28,2.39,1.86,2.48,2.28,2.3,2.09,2.63,0.54,1.61,,,,,
May,,,,1,1.21,0.76,2.11,2.57,1.22,2.45,3.23,3.31,3.85,0.45,4.17,3.29,2.15,1.56,2.31,1.64,3.18,3.38,2.04,2.86,2.58,,,,,
June,,,,0.95,2.72,2.49,0.62,1.68,1.81,0.62,1.26,0.75,1.57,1.77,3.08,2.79,1.75,3.52,0.38,4.13,1.21,1.71,2.57,3.57,1.81,,,,,
July,,,,1.07,0.47,6.88,2.15,3.26,5.13,2.57,2.62,1.56,1.38,2.58,2,2.02,5.95,1.75,1.62,2.76,1.25,1.21,4.02,4.67,0.39,,,,,
August,,,,2.13,1.73,0.63,1.06,2.87,1.88,0.24,4.16,2.97,1.66,2.28,2.11,6.56,1.16,4.66,1.66,3.02,5.02,4.17,2.62,5.59,1.18,,,,,
September,,,,2.65,3.51,3.34,2.23,2.08,0.96,0.85,0.6,1.21,1.75,2.33,1.89,0.8,1.46,2.65,1.25,5.78,3.53,1.48,3.03,2.01,1.78,,,,,
October,,,,1.43,3.23,1.28,2.15,2.55,3.75,3.36,2.14,1.95,1.76,2.81,3.36,3.74,0.46,2.57,5.96,0.9,0.63,4.43,1.57,3.55,,,,,,
November,,,,1.46,5.99,2.38,2.69,3.55,5.4,5.83,2.63,0.74,2.01,4.41,0.41,5.8,1.58,2.04,3.25,4.19,7.36,2.96,2.17,5.98,,,,,,
December,,,,4.02,2.41,1.96,0.64,3.37,1.6,1.79,1.44,2.64,1.35,1.69,2.97,2.89,2.05,4.69,1.98,1.68,2.38,2.59,1.4,2.66,,,,,,
Total,,,,22.01,27.64,28.28,25.7,25.7,30.89,26.93,28,21.84,23.25,24.57,25.93,35.91,28.91,31.67,25.24,32.33,36.5,28.65,25.85,38.04,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
station renumbered 2440/2 in 1937 due to river boundary changes but reverted to original number in 1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
