LOCHAVICH (DRISSAIG),,,,,,,,,,,,,,,,,,,,
Grid ref,NM9477215609,Long,-5.31754,Lat,56.2884,Elevation,320,ft,,,,,,,,,,,,
Station no,5407/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,4.27,,,9.32,8.79,13.81,5.94,11.6,,,,
February,,,,,,,,,14.06,,,3.25,11.56,5.53,13.51,7.37,,,,
March,,,,,,,,,6.15,,,4.27,5.41,3.5,7.86,4.9,2.95,,,
April,,,,,,,,,4.32,,,3.05,10.05,5.52,3.23,4.84,10.45,,,
May,,,,,,,,,,,,4.23,5.14,7.75,5.44,1.53,4.2,,,
June,,,,,,,,,3.5,,,5.01,6.79,7.12,7.2,6.51,4.53,,,
July,,,,,,,,,8.21,,,8.37,5.36,3.44,4.55,6.94,8.07,,,
August,,,,,,,,,3.8,,,10.93,10.55,5.65,3.61,6.04,0.11,,,
September,,,,,,,,,,,,13,8.62,6.98,8.22,10.96,10.19,,,
October,,,,,,,,,,,,13.81,18.39,8.27,8,0.6,,,,
November,,,,,,,,,,,,3.58,7.06,11.34,2.03,8.54,,,,
December,,,,,,,,,,,,15.67,8.35,10.16,7.66,9.95,,,,
Total,,,,,,,,,,,,94.49,106.07,89.07,77.25,79.78,,,,
,,,,,,,,,,,,,,,,,,,,
1937 Figures unreliable deleted,,,,,,,,,,,,,,,,,,,,
1939 Figure for May unlikely Deleted,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5407/1,,,,,,,,,,,,,,,,,,,
Midas,13924,,,,,,,,,,,,,,,,,,,
Hyd Stn,684755,,,,,,,,,,,,,,,,,,,
