"RICHHILL (SANDYMOUNT)",,,,,,,,,,,,
Grid ref,IH924495,Long,-6.578326,Lat,54.385869,,,,,,,
Station no,6194/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.39,4.61,1.13,1.92,3.86,2.12,4.93,3.41,1.98,2.90,,
February,3.00,1.00,1.61,4.37,3.06,2.41,2.39,3.84,0.89,2.38,,
March,2.21,1.20,0.33,3.29,0.97,2.47,2.81,1.30,2.67,2.11,,
April,1.85,1.47,2.38,0.46,2.16,1.19,1.16,1.01,2.35,2.67,,
May,1.77,1.49,1.73,4.62,2.87,0.94,2.83,2.44,1.28,2.51,,
June,2.66,2.19,2.78,2.06,4.29,2.44,1.13,5.29,1.72,2.14,,
July,3.43,0.88,4.65,4.26,1.72,3.66,4.02,5.42,3.38,3.83,,
August,4.59,4.02,4.15,3.02,0.91,7.10,4.64,3.86,0.94,4.81,,
September,2.28,1.23,3.38,3.62,3.37,4.00,3.58,3.41,1.40,3.00,,
October,0.72,3.96,2.11,4.96,1.75,1.59,3.61,3.78,3.75,5.13,,
November,5.44,2.44,2.42,4.35,2.36,2.07,1.16,1.62,3.11,3.33,,
December,4.47,3.61,3.39,3.98,3.93,4.72,4.67,4.64,4.54,3.00,,
Total,35.81,28.10,30.06,40.91,31.25,34.71,36.93,40.02,28.01,37.81,,
Calc annual,35.81,28.10,30.06,40.91,31.25,34.71,36.93,40.02,28.01,37.81,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
