LOCH GOWAN (LUIB),,,,,,,,,,,,
Grid ref,NH130547,Long,-5.126212,Lat,57.543641,,,,,,,
Station no,5771/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.04,7.30,7.79,7.54,2.37,6.55,8.47,7.20,4.44,5.77,,
February,5.30,6.02,6.96,3.50,4.39,4.25,2.95,5.14,2.98,4.92,,
March,3.80,4.10,4.18,4.35,2.19,1.17,2.57,2.18,3.73,1.35,,
April,6.10,3.16,5.50,3.55,3.31,1.88,0.22,4.06,5.51,6.19,,
May,2.10,2.82,5.29,3.84,4.42,5.67,0.26,6.12,2.23,2.55,,
June,1.42,4.99,1.33,3.98,2.76,1.47,0.78,1.98,6.45,5.59,,
July,4.11,5.81,7.25,4.27,0.95,5.55,1.64,1.60,7.87,3.87,,
August,6.50,5.14,6.25,2.90,2.80,5.61,5.60,4.49,5.87,5.83,,
September,4.20,8.36,8.34,8.29,8.01,4.71,5.96,2.74,2.36,3.98,,
October,4.30,8.60,5.30,11.17,10.09,8.95,9.22,8.11,9.29,2.02,,
November,8.84,7.86,15.23,6.26,2.81,8.31,3.44,1.62,8.26,4.10,,
December,14.24,7.13,7.93,13.33,8.50,9.77,8.56,6.00,7.96,10.30,,
Total,68.95,71.29,81.35,72.98,52.60,63.89,49.67,51.24,66.95,56.47,,
Calc annual,68.95,71.29,81.35,72.98,52.60,63.89,49.67,51.24,66.95,56.47,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
