TONBRIDGE-INGLESIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ5892145479,Long,0.27261817,Lat,51.186449,Elevation,160,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,346/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,4.23,1.32,1.64,1.17,2.72,,,,,,,,,,3.32,2.52,3.45,1.49,2.61,2.69,3.23,2.48,3.61,1.15,3.87,2,3.11,1.78,2.87,1.07,5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,2.24,1.39,1.24,0.56,4.26,,,,,,,,,,0.52,0.85,2.31,3.98,0.97,4.48,2.46,4.47,1.75,0.57,1.52,2.42,1.03,2.34,0.29,4.8,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,1.75,1.03,2.77,3.89,1.62,,,,,,,,,,1.03,1.7,2.24,1.98,1.7,1.27,0.49,4.08,1.97,0.02,1.07,0.33,1.7,3.39,3.04,0.42,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,1.35,2.74,2.36,1.64,1.87,,,,,,,,,,2.98,1.5,3.04,2.31,2.96,2.57,4.03,1.63,2.16,0.98,1.47,4,2.05,0.77,2.53,3.42,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,1.64,1.95,1.38,1.68,,,,,,,,,,,1.19,1.25,1.59,3.08,4.04,2.63,1.45,1.55,2.06,1.85,3.12,2.6,3.07,2.5,0.75,2.02,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,2.41,2.34,2.57,2.75,,,,,,,,,,,1.44,0.06,1.4,0.65,2.2,0.23,3.48,3.83,2.51,1.11,1.05,1.22,1.11,1.62,1.84,2.44,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,0.58,1.4,3.29,2.83,,,,,,,,,,,3.72,0.58,3.07,1.48,3.49,4.39,2.03,4.12,1.63,1.04,1.89,2.17,2.26,1.86,1.3,0.75,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,0.85,2.41,4.96,2.3,,,,,,,,,,,1.5,1.95,3.22,1.49,3.2,1.68,1.15,4.99,3.58,2.83,2.6,3.64,0.63,0.85,1.67,3.81,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,1.31,0.42,1.56,2.87,,,,,,,,,,,4.33,0.82,2.55,2.02,3.06,2.47,0.71,4.57,0.51,0.34,3.21,2.2,2.21,3.44,1.36,3.94,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,4.18,4.62,1.88,5.65,,,,,,,,,,,1.28,1,1.57,7.1,4.02,3.81,2.25,1.69,5.78,3.38,1.56,0.71,6.14,1.95,1.87,3.62,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
