MELTHAM-NETHER-END,,,,,,,,,,,,,,,,,,,,
Grid ref,SE103105,Long,-1.8458656,Lat,53.59098,Elevation,585,ft.,,,,,,,,,,,,
Station no,3193/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,4.46,4.35,6.19,,4.13,5.47,4.07,10.14,,
February,,,,,,,,,,,5.9,1.37,,,4.66,7.57,2.89,2.99,,
March,,,,,,,,,,,6.23,2.87,,0.45,1.15,2.14,7.5,1.54,,
April,,,,,,,,,,,2.77,2.67,,3.68,2.66,1.59,4.32,3.17,,
May,,,,,,,,,,,2.66,3.76,,4.35,3.65,1.9,3.45,1.69,,
June,,,,,,,,,,,1,1.44,,2.25,4.13,2.8,3.67,,,
July,,,,,,,,,,,1.31,3.74,,2.33,1.92,4.35,1.68,,,
August,,,,,,,,,,,6.58,5.39,,4.52,3.49,4.95,0.26,,,
September,,,,,,,,,,,0.47,2.98,,5.2,2.7,6.27,2.07,,,
October,,,,,,,,,,,5.22,4.89,,3.77,6.84,1.33,0.83,,,
November,,,,,,,,,,8.98,3.77,1.6,,7.71,0.46,8.01,6.93,,,
December,,,,,,,,,,4.25,2.15,3.87,,4.92,2.31,3.94,4.97,,,
Total,,,,,,,,,,,42.52,38.93,,,38.1,50.32,42.64,,,
,,,,,,,,,,,,,,,,,,,,
NGR is based on the relationships to church and station. Altitudes match. NGR could be +/- 100m.,,,,,,,,,,,,,,,,,,,,
NGR could be +/- 100m. 640m from MELTHAM-HAREWOOD-LODGE,,,,,,,,,,,,,,,,,,,,
